name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score
Polymers (chvs),9.99e-59,0.1,8,111,1,8.58
Malate Dehydrogenase (gngm),7.8e-08,0.03,1,1,0,2.0
Superinfection (dsyn),2.66e-08,0.92,1,170,0,1.01
Microalbuminuria (dsyn),2e-26,3.82,389,473,45,708.92
Gastric mucosa (tisu),1.07e-28,0.22,28,140,0,33.6
Lecithin (bacs),2.24e-41,0.11,25,43,0,39.53
Recombinant Proteins (aapp),5.83e-52,0.18,1,190,0,1.01
1/24 (fndg),2.54e-26,14.27,21,42,9,31.5
Kupffer Cells (cell),2.61e-15,0.26,2,96,0,2.04
heart rate (orga),1.19e-82,3.0,384,904,70,547.12
Stable Disease (fndg),2.75e-09,4.06,103,1611,14,109.59
Forskolin (bacs),4.81e-49,0.03,3,17,0,3.53
Acute onset pain (sosy),2.42e-06,0.33,7,55,0,7.89
Lung Transplantation (topp),2.03e-06,4.3,30,1042,43,30.86
Long (qlco),3.41e-25,4.73,59,470,29,66.41
Squamous epithelial cell (cell),5.88e-07,0.93,1,158,1,1.01
Lysosomal enzyme (aapp),2.4e-10,0.06,2,8,0,2.5
Exanthema (dsyn),1.54e-07,0.5,34,643,1,35.8
Vigabatrin (phsu),1.04e-08,0.12,2,19,0,2.21
Adipogenesis (moft),1.21e-08,1.32,55,16,1,20.65
Fibrinolytic Agents (phsu),2.43e-13,1.67,10,823,3,10.12
racial differences (fndg),4.7e-74,8.62,99,214,13,144.8
HMGB1 Protein (bacs),2.27e-07,0.92,4,203,1,4.08
Citalopram (phsu),2.24e-08,0.26,12,48,0,15.0
Potassium Channel (aapp),4.56e-15,0.23,8,79,0,8.81
End stage renal failure (dsyn),8.53e-93,3.42,467,5514,275,506.55
Malaria (dsyn),4.35e-91,0.97,37,2648,10,37.52
"Macrophages, Peritoneal (cell)",8.34e-52,0.12,1,123,0,1.01
Hole (fndg),1.97e-11,0.17,5,38,0,5.66
Sterility (patf),1.43e-12,0.27,5,80,0,5.31
Hepatitis (dsyn),5.24e-11,0.93,43,661,4,45.8
Interleukin-1 beta (aapp),9.15e-99,0.35,182,1098,3,212.17
malate (bacs),2.74e-06,0.21,4,25,1,4.64
Alloys (inch),4.55e-11,0.07,3,8,0,4.12
Functional RNA (bacs),4.02e-14,0.9,12,430,0,12.33
Intervertebral disc structure (bpoc),4.43e-10,0.12,7,11,0,11.45
Kanamycin (antb),4.57e-06,0.12,1,12,0,1.08
Emission (orgf),3.14e-47,0.11,9,97,0,9.84
Excitation (fndg),1.77e-19,0.08,3,23,0,3.39
Tonsillectomy and adenoidectomy (topp),6.63e-09,3.08,72,14,0,16.72
Cyclophosphamide (phsu),7.12e-45,1.02,81,2248,16,83.92
Brain Stem (bpoc),3.47e-24,0.37,13,670,0,13.25
Amiloride (phsu),3.38e-19,0.08,3,24,0,3.38
Respiration (phsf),5.15e-16,1.79,761,1754,70,1091.17
Renal Cell (cell),2.42e-44,0.14,9,126,0,9.64
H/O: surgery NOS,1.65e-69,6.36,9,126,0,9.64
nursing home resident (popg),9.71e-18,2.51,67,299,33,82.01
Organic Chemicals (orch),8.32e-16,0.18,5,58,0,5.43
Tryptophan (aapp),2.62e-26,0.2,35,92,2,48.32
Microscopic observation (lbpr),2.49e-06,0.21,1,27,0,1.04
higher education institution (orgt),3.63e-09,4.29,21,46,2,30.59
Overweight (sosy),8.55e-29,28.26,11660,475,939,494.35
Residual Tumor (neop),3.94e-09,2.47,14,1069,2,14.18
Eyelash (bpoc),7.81e-14,0.11,2,29,0,2.14
Immunoglobulin G subclass (aapp),1.39e-08,0.08,1,12,0,1.08
Centrosome (celc),6.58e-10,0.1,1,16,1,1.06
Norepinephrine (nsba),1.25e-115,0.21,119,517,9,146.39
Leukocyte Elastase (aapp),2.86e-11,0.27,14,75,0,16.61
Matched Groups (humn),2.34e-15,3.86,57,112,7,86.01
albino rat (mamm),3.2e-12,0.21,10,54,0,11.85
Protein Structure (aapp),1.81e-09,0.09,3,11,0,3.82
Dual-Energy X-Ray Absorptiometry (diap),4.73e-10,11.54,797,57,22,61.08
Immunohistochemistry (lbpr),1.56e-45,1.42,64,2879,5,65.42
Dentin (bpoc),1.04e-36,0.02,1,11,0,1.09
Factor VIII|S100A6 (aapp),3.05e-17,310.43,9,14,0,14.79
Blastocyst structure (emst),1.08e-24,0.07,2,27,1,2.15
Signal Pathways (celf),2.24e-41,0.37,28,773,5,29.01
Prolactin|PRL (gngm),4.37e-30,0.19,64,61,1,119.14
aldehyde dehydrogenases (aapp),2.68e-13,0.1,4,20,0,4.8
Cross-Sectional Studies (resa),1.26e-127,7.23,1522,1155,60,2031.49
Internal carotid artery structure (bpoc),1.74e-06,0.76,11,349,1,11.35
Microtus (mamm),5.88e-07,0.23,4,34,0,4.47
Physiologic Organization (phsf),4.82e-38,0.11,7,70,1,7.7
"Phobia, Social (mobd)",2.72e-06,0.19,16,7,0,10.06
Encounter due to In vitro fertilization (fndg),1.1e-23,1.39,162,72,4,104.0
Bands (medd),5.01e-13,1.48,314,486,106,516.87
Contracture (acab),1.39e-16,0.21,15,68,1,18.31
Extracellular Matrix Proteins (aapp),1.46e-15,0.25,6,90,1,6.4
"Muscular Dystrophy, Duchenne (dsyn)",1.07e-06,0.44,41,135,0,53.45
Techniques (ftcn),5.13e-128,1.83,1489,6183,207,1847.58
Bacteria (bact),1.32e-86,0.37,46,2299,3,46.92
Interleukin-17 (aapp),4.45e-15,0.44,26,228,0,28.96
Health behavior (inbe),1.74e-12,8.6,421,186,25,268.18
STERNUM WOUND INFECTION (dsyn),1.18e-10,6.05,12,173,17,12.83
Parenchyma (bpoc),7.36e-15,0.79,57,1118,4,59.91
Trabeculectomy (topp),1.61e-13,0.03,1,6,0,1.17
Blood Tests (lbpr),7.96e-08,2.57,34,94,0,46.3
Matrix (hcro),9.05e-27,0.14,10,70,0,11.43
Ornithine (bacs),1.01e-06,0.12,3,11,0,3.82
Glutamic Acid (aapp),6.13e-07,0.17,9,15,0,14.4
Upper arm (blor),4.7e-21,2.45,127,496,9,159.52
Normal pregnancy (fndg),2.16e-06,1.97,106,79,5,137.88
Headache (sosy),1.58e-10,0.66,108,627,2,126.6
Homologous Gene (gngm),1.78e-187,0.12,21,437,1,22.01
Transient Receptor Potential Channels (gngm),1.47e-07,0.16,1,24,0,1.04
"Microsomes, Liver (celc)",3.97e-78,0.02,5,15,0,6.67
Sympathetic Ganglia (bpoc),6.54e-09,0.07,1,10,0,1.1
hydrochloride (inch),9.54e-09,0.24,5,45,0,5.56
Heme Oxygenase-1 (aapp),6.7e-21,0.33,13,178,0,13.95
Sarcolemma (celc),3.32e-14,0.11,3,26,0,3.35
Synovial (bpoc),7.79e-14,0.19,22,38,0,34.74
Radical cystectomy (topp),6.58e-16,4.34,76,1132,35,81.1
Somatotropin deficiency (dsyn),1.52e-10,2.53,235,122,25,185.34
Carnitine|CASR|CXADR|PRKAR1A|SPG7|NR1I3|TRIM13|CXADRP1 (phsu),6.71e-13,87.38,8,15,0,12.27
Glioma (neop),1.58e-20,0.65,24,2169,5,24.27
Limb structure (bpoc),2.42e-14,0.96,148,1570,11,161.95
risk factors (qnco),4e-229,9.56,292,560,46,444.26
Stimulant (phsu),5.43e-08,0.34,37,86,1,52.92
Ischemic (ftcn),5.02e-08,6.19,12,307,18,12.47
Radioimmunoassay (lbpr),1.64e-08,0.9,150,48,5,63.36
Adhesions (dsyn),1.54e-148,0.26,77,946,9,83.27
Geriatric Patients (podg),5.55e-08,2.63,54,481,23,60.06
Motor Skills (orgf),1.18e-06,2.97,38,5,0,5.66
Electric Stimulation (lbpr),4.41e-44,0.13,37,61,1,59.44
Entire nerve (bpoc),3.9e-41,0.25,96,233,1,135.55
Terbutaline (orch),2.85e-06,0.22,5,27,0,5.93
Nutrition Assessment (diap),1.13e-23,18.64,106,54,20,81.51
Systolic blood pressure (ortf),7.29e-173,7.3,1442,1203,152,2206.61
Male gender (orga),4.25e-82,2.35,850,1947,89,1221.08
Chlamydia Infections (dsyn),5.76e-07,0.18,4,22,0,4.73
Leprosy (dsyn),3.91e-17,0.19,13,62,0,15.73
"Dysplasia, fibrous (dsyn)",2.42e-06,0.14,1,17,0,1.06
"Hospitals, General (hcro)",1.56e-06,2.57,56,384,5,64.17
Thyrotropin-Releasing Hormone|TRH (horm),2.89e-12,0.08,3,10,1,3.9
Foot Ulcer (dsyn),2.82e-08,2.29,44,122,3,59.87
Amyloidosis (dsyn),1.47e-15,0.88,16,530,5,16.48
Adrenal Cortex (bpoc),1.27e-18,0.14,7,49,0,8.0
Hydralazine (phsu),3.73e-07,0.37,7,72,1,7.68
Human plasma (phsu),5.03e-27,0.17,39,56,0,66.16
Dyslexia (mobd),1.47e-17,0.02,1,3,0,1.33
chemosensitization/potentiation (topp),9.72e-14,0.14,4,35,0,4.46
Heat shock proteins (aapp),9.02e-31,0.27,15,196,0,16.15
Schwann Cells (cell),1.93e-26,0.06,1,31,0,1.03
Down-Regulation (celf),3.49e-21,0.46,52,688,0,55.93
"Twins, Dizygotic (humn)",7.39e-09,2.86,35,86,2,49.24
NODE (bpoc),7.15e-12,1.27,55,1197,8,57.53
neighbor (humn),1.84e-13,0.3,16,103,1,18.49
Breast cancer metastatic (neop),6.15e-20,1.57,32,1675,14,32.61
Need for immunization against unspecified infectious disease (fndg),3.7e-06,0.68,1,338,1,1.0
bud (celc),6.08e-16,0.18,4,59,0,4.27
Salmo trutta (fish),6.17e-09,0.28,1,74,0,1.01
Herpes zoster disease (dsyn),3.59e-10,0.32,4,98,0,4.16
anti-IgG (aapp),2.9e-17,0.25,9,103,0,9.79
Stereotyped Behavior (mobd),1.87e-08,0.04,1,4,0,1.25
STAT3 gene|STAT3 (gngm),2.33e-27,0.33,11,341,0,11.35
Cysteine Protease (aapp),6.03e-13,0.23,12,63,1,14.29
"Lights, manufactured (medd)",3.88e-09,0.26,6,56,0,6.64
network (humn),8.08e-56,0.51,159,1405,20,176.99
"ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2|ATP8A2 (aapp)",5.46e-177,0.1,38,298,1,42.85
vascular bed (bpoc),1.01e-08,0.45,24,155,2,27.72
gabapentin (orch),2.77e-10,0.21,12,39,0,15.69
Insulin-Like Growth Factor I (aapp),8.51e-57,1.05,837,532,46,870.14
"Phosphorus, homeopathic preparation (inch)",5.62e-08,0.45,23,140,0,26.78
Adenocarcinoma of esophagus (neop),2.08e-29,3.68,94,423,17,114.89
Alanine Transaminase (aapp),3.05e-12,3.29,415,479,17,774.55
Hepatic artery (bpoc),5.95e-08,1.05,2,234,2,2.02
Antioxidants (phsu),1.17e-11,0.65,430,1443,12,558.14
Not Hispanic or Latino (popg),1.37e-14,8.75,18,35,4,27.26
Neuroendocrine Tumors (neop),1.44e-24,1.17,14,922,2,14.21
Tachyarrhythmia (patf),6.05e-08,0.87,8,254,2,8.25
Fluorouracil (phsu),1.98e-101,0.9,21,2376,7,21.19
Response Elements (bacs),2.06e-20,0.09,2,31,1,2.13
METABOLIC DISTURBANCE (dsyn),8.01e-08,6.37,206,125,16,200.85
filtration (lbpr),5.14e-07,0.35,12,72,0,14.0
"Metabolic Detoxication, Drug (orgf)",5.58e-07,0.47,15,119,0,16.89
logistic regression analysis (resa),3.63e-66,7.13,102,248,13,143.95
Multiple Trauma (inpo),1.13e-09,2.01,3,640,4,3.01
Amphotericin B (antb),1.47e-36,0.85,2,753,0,2.01
Chagas Disease (dsyn),5.97e-10,0.78,11,497,7,11.24
Thrombospondins (aapp),4.23e-07,0.08,1,9,0,1.11
Pyruvate (bacs),2.28e-23,0.13,6,55,0,6.65
Androgens (horm),4.64e-26,1.06,434,378,10,707.23
Gel Electrophoresis (lbpr),1.87e-07,0.22,13,29,0,18.83
glucose metabolism (moft),1.41e-06,3.27,198,82,3,115.96
Diabetic care (topp),2.69e-09,3.68,62,98,2,101.22
Anemic (fndg),6.25e-12,2.67,70,394,12,82.44
Phospholipase D (aapp),2.86e-19,0.02,1,6,0,1.17
Endometrial Stromal Cell (cell),2.2e-09,0.05,1,6,0,1.17
apolipoprotein B-48 (aapp),2.66e-06,2.24,21,2,0,2.19
early identification (topp),1.54e-28,4.45,82,373,8,100.03
Beagle (mamm),7.21e-40,0.12,1,91,0,1.01
Biotin (orch),4.13e-19,0.08,4,24,0,4.67
Strabismus (dsyn),4.34e-12,0.08,3,12,0,3.75
Composition (clna),2.02e-37,1.38,297,221,9,385.45
"SHC1 protein, human|SHC1 (bacs)",1.19e-06,0.09,1,9,0,1.11
Amylases (aapp),1.13e-06,0.59,32,245,5,36.18
"Interferon Alpha, Human|IFNA1 (aapp)",4.08e-17,0.23,5,88,0,5.28
CANADIAN (fndg),8.09e-24,3.62,370,469,23,661.9
Eukaryota (orgm),7.75e-115,0.05,3,106,0,3.08
Pelvic lymphadenectomy (topp),2.91e-13,3.76,37,192,11,44.13
Witnesses (humn),1.64e-16,4.01,44,117,1,60.55
Perceived quality of life (fndg),6.43e-08,2.46,39,102,3,53.91
innate immune response (patf),1.11e-09,0.95,12,356,1,12.4
Somatostatin analog|TAT (phsu),5.38e-27,1683.38,12,38,1,15.79
"Sperm Injections, Intracytoplasmic (topp)",4.35e-08,1.21,70,38,0,58.63
ELUTION (lbpr),3.05e-19,0.07,1,23,0,1.04
Intraoperative Complications (patf),3.2e-18,5.45,37,129,4,47.61
Intervention regimes (hlca),0.0,3.97,3845,10488,330,5254.61
Plants (plnt),1.65e-230,0.18,52,859,0,55.15
Peptide Hydrolases (aapp),1.36e-101,0.15,9,311,0,9.26
Phosphoproteins (aapp),1.01e-20,0.08,2,28,0,2.14
Patient in hospital (fndg),2.16e-13,3.49,69,769,30,75.19
lactic acid bacteria (bact),3.26e-06,0.11,1,11,0,1.09
wortmannin (bacs),9.08e-19,0.07,1,25,0,1.04
Hand grip strength (fndg),1.49e-06,12.55,26,18,4,30.46
Lipoxygenase (aapp),1.2e-34,0.05,1,30,0,1.03
Dopamine-beta-monooxygenase (aapp),5.83e-10,0.03,1,2,0,1.5
Choroidal Neovascularization (patf),1.48e-22,0.03,3,3,0,6.0
phosphoric diester hydrolase (aapp),7.27e-34,0.07,3,42,0,3.21
ewes (mamm),5.09e-27,0.13,4,70,0,4.23
Empyema (dsyn),1.37e-08,1.24,2,334,4,2.01
Chronic Lymphocytic Leukemia (neop),1.05e-33,0.75,6,1199,0,6.03
Arginine (phsu),1.24e-11,0.47,170,380,5,246.05
"Carcinoma, Non-Small-Cell Lung (neop)",3.86e-100,1.94,77,8530,64,77.7
acid secretion (celf),1.71e-10,0.07,3,7,0,4.29
Hippocampal Formation (bpoc),1.71e-10,0.08,2,12,0,2.33
Polyunsaturated Fatty Acids (bacs),1.57e-16,1.28,182,220,7,332.56
Amputation (topp),1.66e-06,1.75,25,951,11,25.66
APLN (gngm),1.18e-07,1.82,53,27,3,40.75
Roentgen Rays (npop),7.8e-22,0.18,31,58,1,47.57
Tobramycin (antb),3.79e-07,0.33,7,62,1,7.79
MS4A1 gene|MS4A1 (gngm),3.09e-07,0.85,2,156,0,2.03
Musculoskeletal Diseases (dsyn),1.63e-17,1.49,99,37,4,50.83
"Parietal Cells, Gastric (cell)",1.36e-10,0.04,1,5,0,1.2
dopaminergic neuron (cell),1.18e-50,0.04,5,26,0,5.96
electrode (mnob),5.73e-38,0.1,14,46,3,18.26
Vitrectomy (topp),6.18e-25,0.07,5,21,0,6.19
Seasons (tmco),2.1e-08,2.05,72,310,6,88.72
sporulation (celf),1.3e-08,0.1,1,16,0,1.06
Fibroblasts (cell),0.0,0.09,25,669,2,25.93
hyperkalemia (patf),1.93e-06,1.17,3,253,3,3.04
Overhydration (patf),1.66e-14,8.49,12,36,9,16.0
Lesion of stomach (dsyn),4.38e-08,0.27,2,47,0,2.09
Plasminogen Activator (gngm),3.63e-18,0.22,4,86,1,4.19
Graves' Disease (dsyn),9.77e-22,0.24,37,116,0,48.8
Allergic rhinitis NOS (dsyn),1.04e-06,0.34,80,46,1,72.45
"TNF protein, human|TNF (aapp)",2.18e-13,0.95,628,1036,17,1008.68
Paroxetine (orch),6.52e-09,0.22,13,39,0,17.33
alemtuzumab (imft),1.34e-09,1.3,3,328,0,3.03
Cyclosporine (phsu),2.17e-107,0.37,100,1163,9,108.6
Squamous cell carcinoma (neop),4.93e-181,1.0,56,5170,21,56.61
6/9 (fndg),6.02e-17,5.36,33,93,3,44.71
Salts (chvs),3.81e-10,0.07,1,12,0,1.08
FAS (gngm),6.34e-13,0.41,42,206,3,50.56
Pheochromocytoma (neop),8.33e-14,0.48,35,279,9,39.39
pulmonary complications (patf),8.79e-11,4.79,42,667,21,44.64
Ethylene (orch),4.25e-26,0.03,3,5,0,4.8
Culicidae (invt),2.11e-24,0.89,3,515,1,3.02
Semiconductors (mnob),6.87e-10,0.07,2,8,0,2.5
Plant Roots (plnt),5.12e-35,0.18,5,130,0,5.19
pemetrexed (orch),1.97e-14,1.3,2,435,0,2.01
Libraries (orgt),3.57e-17,0.86,29,704,7,30.19
Fetal Liver (emst),1.03e-11,0.08,2,15,0,2.27
Conjunctivitis (dsyn),2.87e-07,0.28,3,46,0,3.2
"Genes, Regulator (gngm)",1.21e-06,0.39,7,72,1,7.68
"Seizures, Focal (sosy)",1.78e-08,0.31,9,69,0,10.17
Aspirin (phsu),4.43e-23,0.94,223,2482,37,243.04
glycogen synthase kinase 3 beta (aapp),6.63e-06,0.3,2,40,0,2.1
Entire trunk (bpoc),1.39e-09,1.41,228,802,12,292.82
Lipogenesis (orgf),2.31e-06,1.1,65,34,2,51.78
Adrenal Glands (bpoc),1.75e-40,0.27,16,257,2,17.0
partial response (fndg),1.47e-16,2.96,5,1378,1,5.02
Epidermal Growth Factor Receptor|EGF (aapp),9.03e-13,0.17,2,45,0,2.09
Methylphenidate (phsu),2.61e-07,0.23,26,18,0,30.46
Lower urinary tract symptoms (sosy),8.21e-33,1.68,160,49,0,64.01
Complete atrioventricular block (patf),2.03e-06,1.09,1,206,3,1.0
Hypoxemia (fndg),2.33e-21,2.71,115,567,19,138.32
Hysterectomy (topp),9.38e-32,2.71,235,504,19,344.57
Immunoblotting (lbpr),3.4e-11,0.24,7,60,0,7.82
Brain tissue (bpoc),4.89e-16,0.39,14,424,1,14.46
WDTC1 (gngm),1.61e-23,0.17,19,67,0,24.39
Secondary physiologic amenorrhea (dsyn),3.09e-07,1.78,26,2,0,2.15
Nitrites (chvs),1.35e-08,0.21,3,36,0,3.25
Electrophoresis (lbpr),3.08e-12,0.18,11,39,0,14.1
Cardiovascular Diseases (dsyn),0.0,7.22,3732,10574,974,5049.18
Clarithromycin (antb),4.9e-19,0.27,5,116,0,5.22
Adventitia (tisu),2.79e-09,0.28,2,60,0,2.07
NMDA receptor antagonist (phsu),1.22e-06,0.18,1,23,0,1.04
Hepatitis Delta Virus (virs),5.39e-07,0.28,3,44,0,3.2
offender (popg),1.8e-11,0.29,7,80,0,7.61
Craniopharyngioma (neop),1.96e-11,2.25,55,171,12,72.69
Extracellular Space (bsoj),8.33e-10,0.14,1,26,0,1.04
Fentanyl (orch),1.47e-06,0.43,54,137,2,75.28
Imipramine (phsu),3.57e-34,0.03,1,18,0,1.06
Self Esteem (inbe),2.86e-19,3.11,170,32,3,38.02
eosinophil (cell),2.71e-42,0.11,9,84,1,9.96
Tumor Necrosis Factor Ligand Superfamily Member 6 (aapp),6.8e-18,0.23,4,91,0,4.18
Salivary Glands (bpoc),2.46e-38,0.28,9,301,0,9.27
Random Allocation (resa),8.93e-42,4.2,101,234,7,144.59
Cleft Palate (dsyn),2.06e-16,0.18,9,58,0,10.4
Temporal Lobe (bpoc),2.25e-20,0.28,20,144,0,22.78
Transforming Growth Factor beta|TGFB1 (aapp),1.59e-07,0.19,1,29,0,1.03
leiomyosarcoma (neop),2.24e-09,0.74,1,318,0,1.0
Disinfection (topp),1.49e-08,0.26,1,56,0,1.02
Bicuculline (orch),4.58e-13,0.05,1,10,0,1.1
Hydrocarbons (orch),4.33e-18,0.17,8,61,0,9.05
"Signs and Symptoms, Respiratory (sosy)",1.98e-14,2.02,100,334,13,129.94
Ovarian Stimulation (topp),1.27e-19,1.83,78,13,2,15.17
"PLA2G2A protein, human|PLA2G2A (aapp)",5.67e-07,0.18,4,22,0,4.73
Renal impairment (dsyn),2e-10,2.46,122,971,19,137.33
EGFR gene|EGFR (gngm),1.21e-12,1.4,8,622,3,8.1
Capsaicin (lipd),2.54e-42,0.07,16,24,0,26.67
Exocytosis (celf),9.93e-42,0.28,150,286,1,228.67
Acute hemorrhage (patf),2.76e-08,2.06,1,388,0,1.0
Nephrotic Syndrome (dsyn),7.01e-18,0.4,28,238,1,31.29
CRYGC|CRYGEP (gngm),2.55e-08,0.2,1,33,0,1.03
KCNH2 (gngm),1.5e-06,0.26,4,38,0,4.42
SMAD3 gene|SMAD3 (gngm),1.67e-08,0.25,4,47,0,4.34
Entire suprachiasmatic nucleus (blor),1.45e-08,0.06,2,4,0,3.0
Microglia (cell),1.18e-60,0.12,2,145,0,2.03
Antimalarials (phsu),1.19e-10,0.8,8,350,0,8.18
Blood - brain barrier function (ortf),4.49e-11,0.37,7,234,0,7.21
Control Groups (humn),6.06e-75,2.38,2279,3944,106,3595.9
skin disorder (dsyn),1.05e-22,0.35,48,259,4,56.9
SMAD5-AS1 (gngm),5.93e-11,0.31,4,87,0,4.18
Gonadorelin|PLOD1 (horm),1.88e-17,56.14,24,21,0,39.38
Morphologically altered structure (anab),4.94e-28,0.34,53,298,4,62.43
Fibrinogen assay (lbpr),1.1e-06,3.77,17,39,6,24.41
Alleles (gngm),2.88e-22,1.59,318,307,8,603.38
Impaired cognition (fndg),8.52e-15,1.13,413,895,24,603.58
comatose (dsyn),2.93e-14,1.53,8,746,3,8.09
MDM2 gene|MDM2 (gngm),6.3e-07,0.36,3,140,0,3.06
docetaxel (phsu),2.42e-36,1.25,15,1474,9,15.15
Hemoglobin concentration result (lbtr),2.53e-12,3.33,34,140,11,42.26
Recurrent Carcinoma (neop),4.23e-13,1.47,6,605,2,6.06
Time (tmco),9.33e-41,3.24,297,2523,45,331.96
"Respiratory Distress Syndrome, Newborn (dsyn)",4.29e-15,1.49,12,812,2,12.18
Algae (alga),4.33e-27,0.21,2,118,0,2.03
Tamoxifen (orch),4.47e-32,0.49,83,996,18,89.92
Disorder of pregnancy (dsyn),2.29e-09,5.71,28,43,2,46.23
Retinal Cone (cell),4.82e-11,0.03,1,4,0,1.25
Craving (inbe),7.22e-07,2.94,46,8,0,9.39
Walking (dora),1.21e-12,3.63,276,74,17,93.84
beta-Lactamase (aapp),1.5e-22,0.24,2,117,0,2.03
Trachoma (dsyn),4.56e-06,0.12,1,13,0,1.08
N terminal pro-brain natriuretic peptide level (lbpr),1.51e-06,8.48,10,16,2,16.25
Cell Cycle Progression (celf),9.41e-22,0.28,2,185,1,2.02
Multimorbidity (sosy),6.02e-12,4.26,28,137,8,33.72
CAMP (gngm),2.22e-10,0.2,11,37,0,14.27
Myocardium (tisu),1.6e-38,0.46,83,945,5,90.29
Relaxation (topp),1.33e-23,0.21,27,96,1,34.59
Pathological accumulation of air in tissues (patf),4.22e-06,1.67,86,468,26,101.8
kinase activity (moft),1.5e-14,0.11,2,28,0,2.14
Biological Models (resd),6.49e-25,0.17,1,85,0,1.01
Memory (menp),2.3e-17,0.2,19,63,2,24.73
Beta Carotene (orch),3.72e-06,1.06,114,160,9,195.22
Glial Fibrillary Acidic Protein (aapp),3.14e-22,0.17,3,75,0,3.12
Materials (sbst),2.62e-51,0.21,20,229,2,21.75
Dopamine Antagonists (nsba),1.91e-08,0.1,4,6,1,6.67
Hypnosis (topp),3.3e-06,0.07,2,4,0,3.0
Transcriptional Regulation (celf),1.29e-19,0.19,6,80,0,6.45
Magnetic Resonance Angiography (diap),3.99e-08,0.44,13,134,0,14.26
Choline (bacs),1.57e-13,0.22,22,51,1,31.49
BOWEL RESECTION (topp),2.3e-08,4.46,22,166,7,24.92
Xenobiotics (bacs),9.87e-17,0.15,2,51,0,2.08
Lymph (bdsu),1.11e-06,0.16,4,17,0,4.94
Angiotensin I (aapp),1.52e-07,0.16,2,23,0,2.17
Systemic infection (dsyn),3.8e-08,1.62,9,518,1,9.16
Capsid Proteins (aapp),1.53e-43,0.14,1,117,0,1.01
Not significant (fndg),1.86e-62,7.0,223,289,12,395.07
Tubulin (aapp),5.29e-35,0.05,1,32,0,1.03
Blood flow (orgf),3.72e-17,0.48,205,587,16,276.59
Sodium Channel (aapp),1e-17,0.18,4,67,0,4.24
Chordoma (neop),8.93e-09,0.82,2,204,0,2.02
beta-adrenergic receptor (aapp),2.83e-09,0.21,6,39,0,6.92
Cyanobacterium (bact),1.57e-38,0.1,2,73,0,2.05
"Opiates, Endogenous (bacs)",5.11e-08,0.09,1,12,0,1.08
conjunctiva (bpoc),6.16e-38,0.14,5,107,0,5.23
Somatotropin|ELANE (horm),8.05e-59,136.85,46,50,3,88.32
Neurotoxins (hops),9.66e-11,0.25,1,65,0,1.02
"Insulin, Glargine, Human|GLA (horm)",6.66e-13,664.52,58,10,1,11.72
Aldehydes (orch),3.98e-24,0.07,1,31,0,1.03
"Biological function, NOS (biof)",2.05e-12,0.47,29,287,0,31.93
K ATPase (aapp),3.64e-12,0.07,2,13,0,2.31
Birth (orgf),0.0,3.64,1315,2888,93,1913.76
Opportunistic Infections (dsyn),1.8e-12,1.87,6,933,9,6.04
Retrospective Studies (qnco),1.15e-137,9.02,227,1658,56,258.08
Sirolimus (substance) (antb),1.29e-43,0.31,13,424,4,13.4
Antifungal Agents (phsu),4.15e-18,1.46,3,636,0,3.01
"Cardiomyopathy, Dilated (dsyn)",1.79e-18,1.05,34,964,7,35.2
3/6 (fndg),6.36e-35,6.35,60,166,7,81.69
Amino-terminal pro-brain natriuretic peptide (aapp),1.7e-30,5.95,59,421,23,67.27
Intentional weight loss (fndg),5.91e-14,36.26,30,11,14,15.03
Azithromycin (antb),9.46e-10,0.4,10,189,1,10.53
Arachidonic Acid (eico),2.34e-23,0.25,66,112,4,104.89
Pleura (bpoc),1.13e-14,0.87,1,276,0,1.0
Chloroquine (orch),7.96e-34,0.23,3,163,0,3.06
Exostoses (patf),1.34e-17,1.68,77,8,1,8.83
Trophoblastic Cell (cell),1.6e-06,0.22,2,29,0,2.14
whey protein (aapp),2.46e-09,1.53,46,11,0,13.63
"Adolescents, Male (humn)",8.58e-08,5.62,228,37,5,43.0
Base Sequence (nusq),9.41e-32,0.09,2,51,0,2.08
Methotrexate (orch),1.36e-18,0.49,68,1194,5,71.87
Hypercapnic respiratory failure (patf),2.05e-12,2.9,38,163,16,46.86
Anticoagulants (phsu),7.71e-08,1.54,62,1336,6,64.88
Daunorubicin (phsu),6.07e-09,0.33,1,133,1,1.01
Micrometastasis (fndg),2.3e-13,1.21,2,377,0,2.01
Electroencephalography (diap),1.15e-17,0.31,4,188,1,4.09
Fluconazole (phsu),1.07e-21,1.06,7,637,1,7.08
Ventral Tegmental Area (bpoc),2.34e-21,0.04,4,5,0,7.2
Pseudogenes (gngm),2.98e-07,0.06,1,5,0,1.2
HSP90 Heat-Shock Proteins|HSP90AA1 (aapp),1.18e-21,0.14,2,60,0,2.07
Liver tissue (tisu),3.33e-07,0.52,33,406,1,35.68
Erinaceidae (mamm),5.3e-12,0.24,1,66,0,1.02
Deafness (dsyn),5.4e-10,0.24,11,51,0,13.37
Obese build (orga),1.53e-07,14.45,1947,124,90,131.9
monoamine (orch),1.59e-11,0.08,3,13,0,3.69
Inosine (bacs),3.1e-06,0.14,2,14,0,2.29
pulmonary function (ortf),5.08e-26,3.12,236,411,32,371.51
Cholinesterase Inhibitors (orch),4.13e-07,0.39,6,99,1,6.36
