name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Choice Behavior,9.63e-08,1.09,106,97,4,185.76,5.0
Anti-Arrhythmia Agents/therapeutic use,2.44e-07,1.89,12,627,0,12.23,5.0
Hyperglycemia/epidemiology,5.04e-42,17.21,77,86,5,145.94,4.0
Managed Care Programs/organization & administration,3.07e-09,0.13,2,22,0,2.18,4.0
Glioma/drug therapy,8.59e-07,2.02,1,320,0,1.0,5.0
Drug Eruptions/etiology,1.35e-10,0.23,4,53,0,4.3,4.0
Robotics/methods,2.38e-06,3.63,106,126,11,195.17,4.0
Acetylcholine/metabolism,3.6e-13,0.04,1,7,0,1.14,4.0
Esophageal Neoplasms/pathology,1.74e-06,2.8,5,734,3,5.03,4.0
Body Fluids,7.49e-40,0.03,2,15,1,2.27,2.0
Pulmonary Artery/abnormalities,6.92e-08,0.85,2,183,1,2.02,4.0
Antibodies/analysis,1.44e-21,0.04,3,7,0,4.29,6.0
"Obesity, Morbid/surgery",1.26e-304,32.21,1890,392,491,473.3,5.0
DNA/radiation effects,7.15e-09,0.04,1,5,0,1.2,3.0
Nutritional Status/physiology,1.41e-13,17.71,215,59,24,75.19,4.0
"Obstetric Labor, Premature/epidemiology",1.9e-07,4.87,17,55,0,22.25,4.0
Cardiovascular Diseases/prevention & control,0.0,7.02,611,2353,108,769.66,1.0
Anthelmintics/therapeutic use,3.76e-08,0.27,1,49,1,1.02,6.0
"Sleep Apnea, Obstructive/complications",3.41e-33,15.5,271,126,26,184.58,5.0
Colectomy/adverse effects,8.07e-15,6.49,24,128,8,28.5,3.0
Cardiac Output,2.47e-06,0.27,12,39,1,15.69,4.0
Neutrophils/physiology,5.35e-13,0.25,9,77,1,10.05,3.0
"Hemoglobin A, Glycosylated/metabolism",2.5e-35,11.69,324,184,19,288.49,3.0
Disinfection/methods,3.39e-09,0.18,1,34,0,1.03,7.0
Morphine/pharmacology,3.66e-24,0.05,3,17,0,3.53,5.0
Nerve Tissue Proteins/analysis,1.65e-07,0.11,1,16,0,1.06,3.0
"Regulatory Sequences, Nucleic Acid",3.51e-09,0.04,1,4,0,1.25,4.0
Carcinogens/metabolism,4.72e-06,0.04,1,2,0,1.5,4.0
Nurse-Patient Relations,2.34e-30,0.11,9,58,0,10.4,4.0
Carbohydrates,1.35e-07,0.1,5,6,0,9.17,1.0
Nitric Oxide/metabolism,4.32e-08,0.48,46,199,3,56.63,3.0
Venous Thromboembolism/blood,5.76e-10,7.69,15,29,0,22.76,5.0
Extracellular Matrix Proteins/metabolism,1.25e-06,0.25,1,36,0,1.03,4.0
Space Perception/physiology,1.99e-21,0.03,3,1,0,1.33,4.0
Sodium Channels/metabolism,3.48e-06,0.1,1,11,0,1.09,6.0
Peripheral Vascular Diseases/epidemiology,1.38e-24,9.78,29,77,6,39.92,3.0
Serotonin/metabolism,3.18e-22,0.09,8,26,0,10.46,4.0
Hot Temperature,1.62e-30,0.29,38,241,0,43.99,4.0
Brain Chemistry,1.43e-35,0.04,1,22,0,1.05,2.0
"Antigens, CD",1.35e-06,0.24,1,34,0,1.03,4.0
"Protein Processing, Post-Translational",1.6e-18,0.13,6,41,0,6.88,5.0
Population Growth,4.66e-07,0.35,4,72,0,4.22,4.0
Indoles/pharmacology,1.88e-14,0.22,6,72,0,6.5,3.0
"DNA, Bacterial/analysis",1.61e-12,0.1,1,25,0,1.04,4.0
"Osteoarthritis, Knee/therapy",1.08e-10,4.01,55,1,0,1.02,4.0
European Continental Ancestry Group/statistics & numerical data,7.96e-254,11.52,309,757,30,435.13,4.0
Hypersensitivity/immunology,3.62e-08,0.13,4,17,0,4.94,2.0
Nutritional Status,5.83e-21,8.34,1563,520,203,693.0,4.0
Acute Coronary Syndrome/epidemiology,2.35e-08,9.53,11,134,6,11.9,4.0
Diabetic Angiopathies/blood,2.2e-10,8.54,59,47,10,84.44,3.0
Gastric Emptying/physiology,4.09e-11,3.03,57,5,0,5.44,5.0
Prenatal Diagnosis,8.65e-07,0.45,13,221,1,13.76,4.0
Vagina,7.69e-07,0.08,3,4,0,5.25,4.0
Fish Diseases/parasitology,4.21e-08,0.86,1,161,0,1.01,2.0
Pregnancy/physiology,1.21e-11,3.17,157,44,1,56.33,5.0
Nursing Care,1.63e-27,0.03,1,13,0,1.08,3.0
Protein-Energy Malnutrition/therapy,2.36e-06,5.33,9,38,4,11.13,6.0
Risk Assessment/methods,1.11e-106,6.02,261,2228,75,291.57,4.0
Serine Endopeptidases/metabolism,2.96e-09,0.25,3,53,0,3.17,6.0
Proline/analogs & derivatives,3.23e-06,0.15,2,17,0,2.24,5.0
Bone Development/physiology,5.53e-12,1.95,43,6,1,6.84,5.0
Skin Physiological Phenomena,6.61e-07,0.16,11,7,0,11.45,2.0
"Embryo, Mammalian/cytology",1.21e-06,0.1,1,11,0,1.09,2.0
"Air Pollution, Indoor/analysis",5.52e-07,0.15,3,19,0,3.47,5.0
Heart Ventricles/ultrasonography,7.15e-10,4.04,82,110,14,143.13,3.0
Equipment and Supplies,4.76e-25,0.06,6,9,1,10.0,1.0
"Nursing Staff, Hospital/psychology",1.93e-16,0.16,5,54,0,5.46,4.0
Health Services Research,2.95e-09,0.35,5,86,1,5.29,2.0
Heart Failure/rehabilitation,3.6e-06,4.49,17,87,1,20.32,3.0
Anemia/complications,3.4e-06,4.7,15,225,12,16.0,3.0
Joint Prosthesis,2.84e-06,0.13,6,6,0,12.0,3.0
Immunity,5.84e-18,0.09,5,25,0,6.0,2.0
Phosphatidylinositol 3-Kinases/metabolism,3.16e-09,0.34,9,86,0,9.94,6.0
Blood Transfusion,3.14e-13,0.41,14,269,2,14.73,3.0
Bariatric Surgery/adverse effects,7.44e-44,16.71,72,76,25,140.21,2.0
Extracellular Space/metabolism,4.53e-07,0.05,1,5,0,1.2,3.0
Automatic Data Processing,1.12e-08,0.11,3,15,0,3.6,3.0
Diaphragm,2.08e-07,0.09,3,7,0,4.29,5.0
"Milk, Human/chemistry",1.18e-16,1.81,71,19,0,24.08,3.0
Biopsy,4.31e-16,0.16,5,49,2,5.51,2.0
Coronary Artery Disease/physiopathology,7.58e-39,5.15,93,183,13,140.26,5.0
Consumer Participation,6.3e-08,0.3,8,60,1,9.07,4.0
Brain/physiopathology,1.08e-13,0.4,45,209,0,54.69,3.0
"Arthritis, Rheumatoid/immunology",2.56e-09,0.22,10,37,2,12.7,3.0
Ventricular Remodeling/physiology,2.04e-12,4.24,37,227,8,43.03,3.0
Skin Neoplasms/diagnosis,9.7e-20,0.99,2,443,0,2.01,3.0
Digestion,7.23e-16,0.06,5,4,0,7.2,4.0
Disabled Persons/statistics & numerical data,1.55e-31,4.91,65,229,14,83.45,2.0
Vascular Endothelial Growth Factor A/metabolism,4.83e-06,1.03,7,229,0,7.21,5.0
Veterans,2.38e-08,2.19,39,142,13,49.71,2.0
Swimming/physiology,3.86e-16,2.27,69,10,0,11.45,3.0
Lymphocyte Activation,1.4e-42,0.06,2,43,0,2.09,3.0
T-Lymphocytes/metabolism,1.9e-15,0.17,5,51,0,5.49,6.0
"Pulmonary Disease, Chronic Obstructive/classification",1.84e-07,15.91,11,11,5,22.0,4.0
Gastroplasty/adverse effects,8.49e-23,19.16,90,32,41,43.38,3.0
Cystic Fibrosis/complications,9.33e-21,2.86,87,222,19,121.09,3.0
Lipids,1.29e-11,0.07,4,8,0,6.0,1.0
Nurses/psychology,2.92e-09,0.18,11,25,0,15.84,3.0
Cerebellum/metabolism,1.93e-08,0.05,1,6,0,1.17,7.0
Depression/epidemiology,6.93e-10,4.26,273,252,9,484.62,4.0
Pregnancy Outcome/epidemiology,2.93e-71,7.92,114,463,18,142.07,3.0
"Diabetes Mellitus, Type 1/complications",1.07e-26,3.46,192,326,18,305.08,3.0
Health Services/utilization,2.01e-06,1.89,53,158,3,70.78,2.0
Catholicism,1.03e-10,0.12,1,25,0,1.04,4.0
Renal Dialysis,4.69e-91,2.84,357,1934,161,422.9,3.0
Brain Ischemia/epidemiology,4.58e-18,5.98,34,142,6,42.14,4.0
Gastroesophageal Reflux/surgery,5.62e-16,3.37,80,159,13,120.25,6.0
Atrial Fibrillation/etiology,9.04e-18,3.85,50,201,9,62.44,4.0
"Kidney Failure, Chronic/complications",4.1e-36,4.08,122,1313,69,133.34,6.0
Androgens/blood,2.79e-09,6.72,149,10,1,10.67,6.0
Mutation/genetics,3.89e-13,0.97,44,781,3,46.48,3.0
"Oncogene Proteins, Fusion/genetics",4.65e-06,1.38,1,193,0,1.01,5.0
Breast Neoplasms/genetics,1.76e-10,1.93,197,1149,10,230.78,3.0
Enzyme Inhibitors,4.72e-06,0.05,1,3,0,1.33,4.0
"Pulmonary Disease, Chronic Obstructive/surgery",4.53e-07,10.51,4,76,8,4.21,4.0
"Receptors, Immunologic/metabolism",2.31e-06,0.37,4,74,1,4.22,5.0
Heart Arrest/therapy,3.06e-07,3.55,7,1301,7,7.04,3.0
Copper/metabolism,4.41e-14,0.1,2,27,0,2.15,4.0
Hepatitis C/complications,7.71e-08,2.85,59,422,6,67.25,3.0
"Neurons, Afferent/physiology",2.59e-15,0.04,3,3,0,6.0,3.0
Vitamin D/blood,1.09e-07,10.62,228,90,6,125.53,4.0
Health Services Accessibility,5.44e-08,1.32,27,735,7,27.99,3.0
Coronary Artery Disease/blood,3.92e-56,8.02,182,222,20,331.21,5.0
Cystic Fibrosis/epidemiology,1.19e-11,6.26,14,34,7,19.76,3.0
Hypothyroidism/physiopathology,3.96e-06,1.8,33,14,0,19.94,3.0
Ascorbic Acid,2.16e-07,0.04,1,2,0,1.5,3.0
Camptothecin/analogs & derivatives,8.84e-07,2.23,4,476,0,4.03,3.0
Maternal-Fetal Exchange,1.03e-12,0.16,10,32,0,13.12,6.0
Ribavirin/therapeutic use,3.53e-15,2.75,69,169,0,97.17,4.0
Acetylcholinesterase/metabolism,3.06e-12,0.1,1,22,0,1.05,7.0
Repressor Proteins/physiology,2.37e-06,0.21,1,27,0,1.04,4.0
Amino Acids/metabolism,7.13e-26,0.09,14,15,0,27.07,2.0
"Diabetes Mellitus, Type 2/prevention & control",4.76e-19,9.98,315,154,22,229.29,3.0
Postpartum Period,9.48e-08,1.22,85,86,0,169.01,3.0
Stroke/ethnology,4.22e-06,7.34,10,102,4,10.98,4.0
Workplace,2.69e-09,1.76,69,39,0,61.04,4.0
Job Satisfaction,1.17e-13,0.15,9,27,2,12.0,4.0
Patient Selection,2.07e-17,2.96,146,1349,33,161.8,3.0
Prostatectomy/methods,3.09e-49,4.75,194,320,18,311.61,5.0
Lung Neoplasms/secondary,7.46e-17,2.26,2,938,1,2.0,3.0
Ecology,1.29e-11,0.28,4,77,0,4.21,3.0
"Fractures, Spontaneous/epidemiology",2.19e-06,6.68,10,23,0,14.35,3.0
Lung Neoplasms/pathology,1.75e-29,2.24,7,2157,11,7.02,3.0
Acid-Base Equilibrium,9.38e-10,0.16,2,26,2,2.15,2.0
"Models, Biological",3.61e-26,0.6,312,1481,20,377.73,3.0
Wound Healing,7.22e-12,0.37,41,153,3,51.99,4.0
Wine/analysis,2.37e-06,0.09,1,10,0,1.1,4.0
Professional-Patient Relations,3.63e-07,0.26,22,37,0,35.08,3.0
Endometrial Neoplasms/surgery,4.67e-80,10.79,86,178,20,127.55,6.0
Cardiovascular Diseases/genetics,1.94e-56,7.98,147,204,14,252.93,1.0
Computer Graphics,5.51e-08,0.12,2,13,1,2.31,3.0
Catecholamines/metabolism,1.89e-09,0.1,4,11,0,5.45,3.0
Mammography,1.96e-24,2.87,111,383,5,143.17,5.0
"Education, Medical, Undergraduate",2.5e-17,0.04,1,10,0,1.1,4.0
MicroRNAs/genetics,4.62e-17,1.08,17,674,0,17.43,4.0
"Ventricular Dysfunction, Left/blood",6.02e-15,7.07,24,56,1,34.29,4.0
Multigene Family,9.45e-17,0.08,5,16,0,6.56,6.0
Algorithms,1.29e-21,0.48,205,668,17,267.91,2.0
Anti-HIV Agents/adverse effects,2.91e-14,2.76,56,148,4,77.19,7.0
Hip Joint/radiography,1.36e-08,1.79,33,4,0,4.48,4.0
Ovarian Neoplasms/epidemiology,5.69e-16,5.21,43,77,6,67.01,3.0
Pediatrics,1.54e-15,0.35,25,170,0,28.68,3.0
Biological Assay,1.06e-12,0.06,1,13,0,1.08,2.0
"Diabetes Mellitus, Type 2/therapy",2.29e-36,7.23,291,254,15,475.7,3.0
Cooperative Behavior,6.07e-15,0.41,21,199,2,23.22,4.0
Serotonin/physiology,4.5e-09,0.11,7,6,0,11.14,4.0
Brain Neoplasms/pathology,4.33e-29,1.23,1,753,0,1.0,4.0
Food Preferences/psychology,8.73e-12,6.53,98,1,0,1.01,4.0
Gastrointestinal Hemorrhage/etiology,3.12e-13,1.09,5,432,2,5.06,3.0
Arteries/physiopathology,2.15e-13,5.34,97,108,11,184.12,3.0
Glucose/metabolism,1.9e-11,0.82,311,100,5,132.15,4.0
"Kidney Failure, Chronic/genetics",4.68e-07,3.95,19,67,1,24.39,6.0
Biological Assay/methods,2.33e-07,0.32,3,60,0,3.15,2.0
Heart Failure/complications,1.37e-13,4.85,43,716,31,45.58,3.0
Adipokines/blood,7.46e-07,29.73,248,37,9,42.52,3.0
Eating/psychology,2.86e-07,14.94,210,5,0,5.12,4.0
Neuroglia/physiology,8.82e-07,0.04,1,2,0,1.5,2.0
Military Medicine,8.2e-14,0.24,21,73,0,27.04,3.0
Immunologic Factors/therapeutic use,5.23e-08,1.3,5,325,0,5.08,4.0
Prolactin/secretion,1.3e-06,0.13,8,2,0,2.5,6.0
Larynx,4.82e-11,0.07,2,10,0,2.4,2.0
Adipose Tissue/drug effects,9.32e-14,3.5,90,6,3,6.4,3.0
Mitogen-Activated Protein Kinases/metabolism,1.38e-17,0.15,3,55,0,3.16,4.0
Ultrasonics,3.44e-19,0.06,4,14,0,5.14,4.0
HIV Infections,1.32e-07,0.25,4,42,1,4.38,3.0
"Plants, Medicinal",3.51e-47,0.07,5,57,0,5.44,3.0
Cost of Illness,2.38e-07,3.13,77,1056,27,82.61,4.0
Prisoners/psychology,7.5e-07,0.23,3,34,0,3.26,2.0
"Pulmonary Disease, Chronic Obstructive/blood",3.67e-30,11.53,60,75,10,108.0,4.0
Language,1.33e-23,0.16,24,48,1,36.0,3.0
Antibody Formation,2.07e-42,0.05,2,35,0,2.11,3.0
Dislocations/surgery,7.21e-10,0.1,2,17,0,2.24,2.0
Socioeconomic Factors,3.93e-34,2.6,163,560,20,210.44,2.0
"Behavior, Animal/drug effects",6.1e-39,0.18,3,146,0,3.06,3.0
NF-kappa B/metabolism,6.88e-08,0.44,15,261,0,15.86,4.0
Population Surveillance/methods,7.6e-23,3.64,109,764,15,124.55,4.0
Stroke/drug therapy,1.16e-06,3.17,8,900,1,8.07,4.0
Health Care Costs,1.58e-08,2.49,79,619,19,89.08,3.0
Research Support as Topic,8.18e-12,0.1,1,19,1,1.05,4.0
Laser Therapy,7.37e-28,0.2,9,118,1,9.69,2.0
"Legislation, Drug",4.87e-09,0.09,1,15,0,1.07,4.0
Kidney Transplantation/statistics & numerical data,2.38e-09,5.81,23,244,8,25.17,3.0
Primary Prevention/methods,2.85e-08,3.92,33,339,12,36.21,4.0
Cross-Cultural Comparison,2.11e-13,1.28,139,144,3,273.17,5.0
Muscles/metabolism,2.83e-35,0.03,4,6,0,6.67,2.0
Thrombolytic Therapy,1.37e-15,2.04,1,745,1,1.0,3.0
Duodenum/surgery,1.69e-06,3.54,72,98,23,124.9,4.0
Hydrocortisone/secretion,9.02e-07,1.77,31,11,0,14.9,6.0
Oxygen,2.22e-24,0.03,1,11,0,1.09,3.0
Body Image,6.24e-45,11.8,992,20,5,20.4,4.0
Spine,1.58e-08,0.1,6,6,0,12.0,4.0
Ultraviolet Rays,2.87e-45,0.12,9,102,1,9.79,4.0
Atherosclerosis/etiology,1.29e-44,7.44,111,166,8,185.22,5.0
Health Planning,1.75e-16,0.22,6,82,0,6.44,2.0
Body Weight,6.7e-21,9.6,1936,163,108,176.72,3.0
Evaluation Studies as Topic,8.28e-13,0.1,3,22,0,3.41,2.0
"Blood Pressure Monitoring, Ambulatory",1.64e-25,5.86,89,130,9,149.93,5.0
Antioxidants/pharmacology,1.78e-23,0.37,35,273,1,39.49,4.0
Exercise/physiology,1.23e-07,5.87,1765,488,81,622.93,2.0
Cachexia/diagnosis,1.84e-07,16.78,7,9,5,12.44,7.0
Self-Assessment,2.67e-06,1.59,59,50,5,92.37,5.0
Perception,2.78e-08,1.06,105,63,3,100.8,3.0
Autoantigens/immunology,5.78e-09,0.2,3,38,0,3.24,3.0
Immunoglobulin M/analysis,2.3e-07,0.07,2,5,0,2.8,8.0
Thorax,2.6e-07,0.13,4,10,1,5.6,3.0
Metabolic Syndrome X/therapy,1.87e-10,15.86,90,43,2,63.54,3.0
Body Constitution,2.51e-06,6.62,243,27,16,30.0,2.0
Skin Neoplasms/drug therapy,3.06e-10,1.48,4,450,1,4.04,3.0
Duodenum,6.46e-12,0.04,1,7,0,1.14,4.0
Mammaplasty/methods,1.08e-07,3.86,180,50,4,63.89,3.0
Visual Fields,2.73e-13,0.03,2,1,0,1.5,2.0
Calcium-Binding Proteins/metabolism,1.33e-07,0.31,5,58,1,5.43,4.0
"Diabetes Mellitus, Type 2/drug therapy",9.08e-121,6.51,1058,979,47,1884.9,3.0
Exercise Test/methods,5.59e-20,4.22,145,203,6,248.57,3.0
Poultry,7.25e-10,0.16,2,32,0,2.12,4.0
Robotics,2.71e-29,4.91,217,261,33,397.42,4.0
Pharmaceutical Preparations/metabolism,7.34e-15,0.07,4,11,0,5.45,1.0
Evoked Potentials/physiology,1.1e-13,0.07,5,7,0,8.57,3.0
Role,4.45e-09,0.12,7,9,0,12.44,4.0
Palliative Care,6.99e-15,1.66,9,911,5,9.09,3.0
Hospitals,8.97e-72,0.12,8,161,0,8.4,3.0
Antineoplastic Agents/pharmacology,1.12e-60,0.29,5,671,0,5.04,4.0
Fishes/anatomy & histology,1.24e-06,0.07,1,7,0,1.14,5.0
Sodium-Potassium-Exchanging ATPase/metabolism,1.24e-09,0.14,6,21,0,7.71,6.0
Mice/genetics,3.18e-07,0.09,2,9,0,2.44,9.0
Peritoneal Dialysis/adverse effects,7.4e-12,4.23,38,322,13,42.48,4.0
Cytokines/blood,7.44e-57,5.22,278,388,13,477.19,3.0
Students,1.1e-17,1.25,138,35,1,43.88,2.0
Acute Coronary Syndrome/blood,2.51e-11,6.79,22,191,7,24.53,4.0
Weight Gain,2.93e-09,24.35,1150,106,76,115.77,5.0
Physicians,1e-47,0.16,23,142,1,26.73,3.0
Brain Chemistry/physiology,3.18e-07,0.11,2,13,0,2.31,2.0
Reimbursement Mechanisms,3.41e-06,0.1,1,10,0,1.1,5.0
Delivery of Health Care,3.26e-17,0.34,8,183,1,8.35,2.0
Thyroid Neoplasms/epidemiology,6.19e-08,3.2,27,78,0,36.35,3.0
Obesity Hypoventilation Syndrome/therapy,6.96e-07,16.12,8,10,3,14.4,5.0
Professional-Family Relations,2.47e-07,0.36,7,73,0,7.67,4.0
Income,2.9e-08,1.99,76,207,4,103.9,3.0
"Behavior, Animal",2.21e-28,0.26,6,168,0,6.21,3.0
Renal Dialysis/statistics & numerical data,3.7e-26,10.3,27,217,18,30.36,3.0
Growth Substances/pharmacology,1.1e-08,0.06,2,6,0,2.67,4.0
Propranolol/pharmacology,6.05e-07,0.15,7,13,0,10.77,4.0
Obesity/blood,1.12e-11,27.98,1751,18,44,18.19,4.0
Surgical Wound Infection/epidemiology,7.42e-67,7.07,112,216,20,170.07,4.0
Hyperglycemia/prevention & control,8.25e-32,6.69,55,126,2,79.01,4.0
Cardiovascular Diseases/enzymology,3.99e-07,5.55,10,27,3,13.7,1.0
Osteopontin/blood,1e-10,7.51,19,33,0,29.94,4.0
Matrix Metalloproteinase 9/blood,1.31e-12,4.74,33,64,2,50.02,8.0
Light,1.61e-57,0.08,14,61,1,17.21,3.0
Capillary Permeability,1.86e-09,0.12,1,22,0,1.05,3.0
Long-Term Potentiation/physiology,4.52e-06,0.06,2,2,0,4.0,5.0
Hippocampus/physiopathology,3.31e-07,0.14,2,18,0,2.22,5.0
Heart Valve Prosthesis/adverse effects,1.61e-06,1.57,2,318,2,2.01,3.0
Lymphocytes/physiology,1.19e-06,0.17,2,22,0,2.18,5.0
Membrane Proteins/metabolism,3.75e-59,0.22,16,291,0,16.88,3.0
Weight Loss,6.74e-32,24.87,2116,194,211,211.79,5.0
Vitamin D/analogs & derivatives,6.27e-42,11.19,454,247,28,381.38,4.0
Frontal Lobe/physiology,5.4e-10,0.04,2,3,0,3.33,8.0
"Receptors, Cell Surface/blood",3.52e-26,7.52,41,93,2,59.08,4.0
"Antibodies, Monoclonal",5.3e-25,0.07,2,32,0,2.12,7.0
Feces,2.83e-09,0.17,1,31,1,1.03,2.0
Creatinine/blood,1.96e-53,5.23,104,349,22,134.99,5.0
Hospitalization,4.92e-06,2.1,116,1130,41,127.91,3.0
Antineoplastic Combined Chemotherapy Protocols/therapeutic use,6.1e-67,3.96,52,11681,36,52.23,4.0
"Cell Transformation, Neoplastic",1.27e-28,0.17,1,97,0,1.01,4.0
Staphylococcal Infections/microbiology,1.78e-11,1.16,3,342,0,3.03,4.0
T-Lymphocyte Subsets/immunology,1.06e-09,0.39,7,163,2,7.3,7.0
Plastics,4.48e-14,0.08,2,17,0,2.24,3.0
Anoxia/epidemiology,4.68e-06,7.14,7,19,2,9.58,4.0
Myocardial Infarction/blood,1.13e-21,3.58,95,624,16,109.46,4.0
Adrenomedullin/blood,1.28e-10,11.32,12,58,3,14.48,4.0
Proteins/chemistry,1.46e-72,0.01,4,5,0,7.2,2.0
Weight Loss/physiology,2.67e-07,25.13,776,74,48,81.06,5.0
Conservation of Natural Resources,2.59e-06,0.38,2,205,1,2.02,2.0
"Image Processing, Computer-Assisted",5.5e-10,0.3,32,83,0,44.34,3.0
Hygiene,2.19e-14,0.12,2,32,0,2.12,2.0
Eating Disorders/psychology,8.89e-12,11.93,338,10,4,10.3,1.0
Cell Culture Techniques/methods,4.61e-21,0.06,1,25,0,1.04,3.0
Sodium/metabolism,7.6e-34,0.11,12,53,2,14.72,4.0
Colectomy/methods,2.16e-87,8.69,101,572,56,118.83,3.0
Phenotype,4.08e-07,1.23,118,207,11,185.27,2.0
Congresses as Topic,2.3e-12,0.23,3,63,0,3.14,3.0
Acquired Immunodeficiency Syndrome,3.6e-13,0.07,2,14,0,2.29,3.0
Patient Compliance/statistics & numerical data,3.69e-22,3.64,93,185,5,139.75,4.0
Probability,1.65e-10,0.23,1,51,0,1.02,2.0
Ovulation Induction,2.82e-12,1.87,46,4,0,4.35,4.0
Insecticides/analysis,6.05e-10,0.21,1,44,0,1.02,4.0
"Students, Nursing/psychology",3.79e-12,0.09,6,10,0,9.6,4.0
Organic Chemicals/chemistry,5.54e-08,0.03,1,2,0,1.5,1.0
Lung Neoplasms/metabolism,1.4e-07,2.22,11,760,1,11.16,3.0
Cyclic AMP-Dependent Protein Kinases/metabolism,2.94e-10,0.07,1,12,0,1.08,5.0
Esophagus,3.65e-17,0.12,1,42,0,1.02,4.0
Diabetic Angiopathies/physiopathology,1.04e-19,4.58,46,99,5,67.37,3.0
Eye Diseases/etiology,4.14e-08,0.18,1,31,0,1.03,1.0
Cognitive Therapy/methods,2.18e-13,1.28,103,39,1,53.77,4.0
Lactic Acid/chemistry,1.09e-07,0.08,1,10,0,1.1,5.0
Vision Disorders/diagnosis,1.19e-06,0.1,1,12,0,1.08,2.0
Enteral Nutrition/methods,3.86e-14,3.76,51,279,7,60.32,3.0
Gastroscopy/methods,6.32e-11,3.36,34,98,2,45.8,5.0
Naval Medicine,4.37e-07,0.16,7,15,0,10.27,3.0
Acute Disease,4.9e-17,0.05,1,13,0,1.08,4.0
Malnutrition/drug therapy,4.46e-09,16.09,12,16,1,21.0,3.0
"Image Interpretation, Computer-Assisted/methods",3.35e-10,0.34,69,101,2,116.14,3.0
Complementary Therapies,8.35e-07,0.21,6,27,0,7.33,2.0
"Arthroplasty, Replacement, Knee/adverse effects",2.56e-17,4.15,85,140,10,136.61,4.0
Coronary Disease/rehabilitation,2.62e-15,4.23,40,86,6,58.6,4.0
Lung Neoplasms/epidemiology,3.24e-08,3.65,47,423,6,52.22,3.0
Nursing Homes/statistics & numerical data,1.18e-06,3.89,17,150,10,18.93,4.0
Neurons/enzymology,2.06e-10,0.09,1,17,0,1.06,2.0
Atherosclerosis/physiopathology,2.03e-17,5.43,67,99,2,112.34,5.0
Knee Joint/surgery,2.41e-13,1.35,95,45,4,66.32,4.0
"Tomography, Emission-Computed",1.34e-14,0.21,5,65,1,5.38,5.0
Nicotine/pharmacology,4.15e-13,0.12,3,27,0,3.33,4.0
Kidney/blood supply,3.77e-07,0.51,19,152,1,21.38,3.0
Radioisotopes,1.65e-30,0.01,1,4,0,1.25,3.0
Antineoplastic Agents/administration & dosage,6.6e-15,1.73,26,1306,4,26.52,4.0
Thoracic Surgery,5.69e-12,0.31,4,92,3,4.17,4.0
Survivors/statistics & numerical data,1.22e-30,10.29,48,500,16,52.61,2.0
"Delivery, Obstetric/statistics & numerical data",1.02e-14,7.0,29,172,4,33.89,3.0
Biliopancreatic Diversion/methods,3.67e-20,35.92,53,15,25,19.25,3.0
Tissue Donors/statistics & numerical data,5.26e-10,7.91,16,341,15,16.75,2.0
Residence Characteristics,1.73e-16,3.56,247,321,8,437.06,3.0
Sympathectomy,7.51e-07,0.12,3,11,0,3.82,5.0
Carbon Dioxide,1.84e-09,0.11,4,14,0,5.14,3.0
Heart Transplantation/physiology,1.96e-06,2.69,25,116,7,30.39,4.0
State Medicine/organization & administration,7.74e-25,0.13,1,66,0,1.02,2.0
Hemolysis,1.67e-14,0.18,2,56,0,2.07,3.0
Respiratory Mechanics/physiology,4e-07,1.31,56,44,2,78.57,5.0
Cell Differentiation/physiology,3.58e-24,0.1,4,42,0,4.38,3.0
Bone Density/physiology,4.49e-18,10.15,725,46,11,48.92,3.0
Blood,9.28e-59,0.02,1,20,0,1.05,2.0
Neutrophils/enzymology,3.4e-09,0.09,1,14,0,1.07,3.0
Anoxia/metabolism,1.03e-07,0.28,10,52,0,11.92,4.0
Lung/metabolism,4.41e-18,0.34,11,201,0,11.6,2.0
Data Collection,1.24e-11,0.26,14,69,1,16.84,2.0
"Fatty Acids, Nonesterified/metabolism",6.85e-07,1.4,37,5,0,5.68,3.0
Intestinal Absorption,2.42e-11,0.15,19,9,0,13.26,4.0
Aorta/physiopathology,5.4e-14,4.37,51,91,10,79.58,4.0
"Medical Staff, Hospital",3.47e-06,0.35,6,59,1,6.61,4.0
Health Transition,5.12e-18,8.78,25,90,4,31.94,3.0
Central Nervous System/drug effects,1.07e-07,0.17,3,24,0,3.38,2.0
Cross Infection/epidemiology,1.97e-06,2.6,16,1034,3,16.25,3.0
Organizational Policy,4e-06,0.32,4,48,0,4.33,4.0
"Anesthesia, General",2.36e-06,0.43,39,125,2,51.17,3.0
Rehabilitation,6.73e-18,0.06,3,12,0,3.75,2.0
"Kidney Failure, Chronic/therapy",1.85e-97,4.89,231,2474,156,252.57,6.0
Accidental Falls/statistics & numerical data,1.89e-21,3.86,62,202,5,81.03,4.0
Women's Health/statistics & numerical data,2.28e-07,7.65,9,25,2,12.24,3.0
Autoimmune Diseases/immunology,4.2e-17,0.2,5,72,2,5.35,2.0
"Databases, Genetic",7.07e-11,0.16,3,33,0,3.27,5.0
Erythrocytes,4.93e-28,0.08,4,35,1,4.46,3.0
Gene Expression,1.13e-15,0.49,46,336,1,52.3,3.0
Phosphates/metabolism,2.11e-14,0.23,5,75,0,5.33,5.0
Acromegaly/complications,6.27e-07,3.38,20,49,8,28.16,4.0
