metabolite	raw.label	name	class	subclass	label	label.no.units	derived_features
shdltg	Triglycerides in small HDL (mmol/l)	Triglycerides in small HDL	Lipoprotein subclasses	Small HDL	Triglycerides (mmol/l)	Triglycerides	no
shdltgpct	Triglycerides in small HDL to total lipids in small HDL ratio (%)	Triglycerides in small HDL to total lipids in small HDL ratio	Lipoprotein subclasses ratios	Small HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
sldlc	Total cholesterol in small LDL (mmol/l)	Total cholesterol in small LDL	Lipoprotein subclasses	Small LDL	Total cholesterol (mmol/l)	Total cholesterol	no
sldlce	Cholesterol esters in small LDL (mmol/l)	Cholesterol esters in small LDL	Lipoprotein subclasses	Small LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
sldlcepct	Cholesterol esters in small LDL to total lipids in small LDL ratio (%)	Cholesterol esters in small LDL to total lipids in small LDL ratio	Lipoprotein subclasses ratios	Small LDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
sldlcpct	Total cholesterol in small LDL to total lipids in small LDL ratio (%)	Total cholesterol in small LDL to total lipids in small LDL ratio	Lipoprotein subclasses ratios	Small LDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
sldlfc	Free cholesterol in small LDL (mmol/l)	Free cholesterol in small LDL	Lipoprotein subclasses	Small LDL	Free cholesterol (mmol/l)	Free cholesterol	no
sldlfcpct	Free cholesterol in small LDL to total lipids in small LDL ratio (%)	Free cholesterol in small LDL to total lipids in small LDL ratio	Lipoprotein subclasses ratios	Small LDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
sldll	Total lipids in small LDL (mmol/l)	Total lipids in small LDL	Lipoprotein subclasses	Small LDL	Total lipids (mmol/l)	Total lipids	no
sldlp	Concentration of small LDL particles (mol/l)	Concentration of small LDL particles	Lipoprotein subclasses	Small LDL	Particle concentration (mol/l)	Particle concentration	no
sldlpl	Phospholipids in small LDL (mmol/l)	Phospholipids in small LDL	Lipoprotein subclasses	Small LDL	Phospholipids (mmol/l)	Phospholipids	no
sldlplpct	Phospholipids in small LDL to total lipids in small LDL ratio (%)	Phospholipids in small LDL to total lipids in small LDL ratio	Lipoprotein subclasses ratios	Small LDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
sldltg	Triglycerides in small LDL (mmol/l)	Triglycerides in small LDL	Lipoprotein subclasses	Small LDL	Triglycerides (mmol/l)	Triglycerides	no
sldltgpct	Triglycerides in small LDL to total lipids in small LDL ratio (%)	Triglycerides in small LDL to total lipids in small LDL ratio	Lipoprotein subclasses ratios	Small LDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
sm	Sphingomyelins (mmol/l)	Sphingomyelins	Glycerides and phospholipids	Glycerides and phospholipids	Sphingomyelins (mmol/l)	Sphingomyelins	no
svldlc	Total cholesterol in small VLDL (mmol/l)	Total cholesterol in small VLDL	Lipoprotein subclasses	Small VLDL	Total cholesterol (mmol/l)	Total cholesterol	no
svldlce	Cholesterol esters in small VLDL (mmol/l)	Cholesterol esters in small VLDL	Lipoprotein subclasses	Small VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
svldlcepct	Cholesterol esters in small VLDL to total lipids in small VLDL ratio (%)	Cholesterol esters in small VLDL to total lipids in small VLDL ratio	Lipoprotein subclasses ratios	Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
svldlcpct	Total cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Total cholesterol in small VLDL to total lipids in small VLDL ratio	Lipoprotein subclasses ratios	Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
svldlfc	Free cholesterol in small VLDL (mmol/l)	Free cholesterol in small VLDL	Lipoprotein subclasses	Small VLDL	Free cholesterol (mmol/l)	Free cholesterol	no
svldlfcpct	Free cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Free cholesterol in small VLDL to total lipids in small VLDL ratio	Lipoprotein subclasses ratios	Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
svldll	Total lipids in small VLDL (mmol/l)	Total lipids in small VLDL	Lipoprotein subclasses	Small VLDL	Total lipids (mmol/l)	Total lipids	no
svldlp	Concentration of small VLDL particles (mol/l)	Concentration of small VLDL particles	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	Particle concentration	no
svldlpl	Phospholipids in small VLDL (mmol/l)	Phospholipids in small VLDL	Lipoprotein subclasses	Small VLDL	Phospholipids (mmol/l)	Phospholipids	no
svldlplpct	Phospholipids in small VLDL to total lipids in small VLDL ratio (%)	Phospholipids in small VLDL to total lipids in small VLDL ratio	Lipoprotein subclasses ratios	Small VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
svldltg	Triglycerides in small VLDL (mmol/l)	Triglycerides in small VLDL	Lipoprotein subclasses	Small VLDL	Triglycerides (mmol/l)	Triglycerides	no
svldltgpct	Triglycerides in small VLDL  to total lipids in small VLDL ratio (%)	Triglycerides in small VLDL  to total lipids in small VLDL ratio	Lipoprotein subclasses ratios	Small VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
tgpg	Ratio of triglycerides to phosphoglycerides ratio (%)	Ratio of triglycerides to phosphoglycerides ratio	Glycerides and phospholipids ratios	Glycerides and phospholipids ratios	Triglycerides phosphoglycerides ratio (%)	Ratio	yes
totcho	Total cholines (mmol/l)	Total cholines	Glycerides and phospholipids	Glycerides and phospholipids	Cholines (mmol/l)	Cholines	no
totfa	Total fatty acids (mmol/l)	Total fatty acids	Fatty acids	Fatty acids	Total fatty acids (mmol/l)	Total fatty acids	no
totpg	Total phosphoglycerides (mmol/l)	Total phosphoglycerides	Glycerides and phospholipids	Glycerides and phospholipids	Phosphoglycerides (mmol/l)	Phosphoglycerides	no
tyr	Tyrosine (mmol/l)	Tyrosine	Amino acids	Aromatic amino acids	Tyrosine (mmol/l)	Tyrosine	no
unsat	Estimated degree of unsaturation	Estimated degree of unsaturation	Fatty acids	Fatty acids	Degree of unsaturation	Degree of unsaturation	no
val	Valine (mmol/l)	Valine	Amino acids	Branched-chain amino acids	Valine (mmol/l)	Valine	no
vldlc	Total cholesterol in VLDL (mmol/l)	Total cholesterol in VLDL	Cholesterol	Cholesterol	VLDL cholesterol (mmol/l)	VLDL C	no
vldld	Mean diameter for VLDL particles (nm)	Mean diameter for VLDL particles	Lipoprotein particle size	Lipoprotein particle size	VLDL particle size (nm)	VLDL particles size	no
vldltg	Triglycerides in VLDL (mmol/l)	Triglycerides in VLDL	Glycerides and phospholipids	Glycerides and phospholipids	VLDL triglycerides (mmol/l)	VLDL triglycerides	no
xlhdlc	Total cholesterol in very large HDL (mmol/l)	Total cholesterol in very large HDL	Lipoprotein subclasses	Very large HDL	Total cholesterol (mmol/l)	Total cholesterol	no
xlhdlce	Cholesterol esters in very large HDL (mmol/l)	Cholesterol esters in very large HDL	Lipoprotein subclasses	Very large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
xlhdlcepct	Cholesterol esters in very large HDL to total lipids in very large HDL ratio (%)	Cholesterol esters in very large HDL to total lipids in very large HDL ratio	Lipoprotein subclasses ratios	Very large HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
xlhdlcpct	Total cholesterol in very large HDL to total lipids in very large HDL ratio (%)	Total cholesterol in very large HDL to total lipids in very large HDL ratio	Lipoprotein subclasses ratios	Very large HDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
xlhdlfc	Free cholesterol in very large HDL (mmol/l)	Free cholesterol in very large HDL	Lipoprotein subclasses	Very large HDL	Free cholesterol (mmol/l)	Free cholesterol	no
xlhdlfcpct	Free cholesterol in very large HDL to total lipids in very large HDL ratio (%)	Free cholesterol in very large HDL to total lipids in very large HDL ratio	Lipoprotein subclasses ratios	Very large HDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
xlhdll	Total lipids in very large HDL (mmol/l)	Total lipids in very large HDL	Lipoprotein subclasses	Very large HDL	Total lipids (mmol/l)	Total lipids	no
xlhdlp	Concentration of very large HDL particles (mol/l)	Concentration of very large HDL particles	Lipoprotein subclasses	Very large HDL	Particle concentration (mol/l)	Particle concentration	no
xlhdlpl	Phospholipids in very large HDL (mmol/l)	Phospholipids in very large HDL	Lipoprotein subclasses	Very large HDL	Phospholipids (mmol/l)	Phospholipids	no
xlhdlplpct	Phospholipids in very large HDL to total lipids in very large HDL ratio (%)	Phospholipids in very large HDL to total lipids in very large HDL ratio	Lipoprotein subclasses ratios	Very large HDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
xlhdltg	Triglycerides in very large HDL (mmol/l)	Triglycerides in very large HDL	Lipoprotein subclasses	Very large HDL	Triglycerides (mmol/l)	Triglycerides	no
xlhdltgpct	Triglycerides in very large HDL to total lipids in very large HDL ratio (%)	Triglycerides in very large HDL to total lipids in very large HDL ratio	Lipoprotein subclasses ratios	Very large HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
xlvldlc	Total cholesterol in very large VLDL (mmol/l)	Total cholesterol in very large VLDL	Lipoprotein subclasses	Very large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no
xlvldlce	Cholesterol esters in very large VLDL (mmol/l)	Cholesterol esters in very large VLDL	Lipoprotein subclasses	Very large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
xlvldlcepct	Cholesterol esters in very large VLDL to total lipids in very large VLDL ratio (%)	Cholesterol esters in very large VLDL to total lipids in very large VLDL ratio	Lipoprotein subclasses ratios	Very large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
xlvldlcpct	Total cholesterol in very large VLDL to total lipids in very large VLDL ratio (%)	Total cholesterol in very large VLDL to total lipids in very large VLDL ratio	Lipoprotein subclasses ratios	Very large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
xlvldlfc	Free cholesterol in very large VLDL (mmol/l)	Free cholesterol in very large VLDL	Lipoprotein subclasses	Very large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no
xlvldlfcpct	Free cholesterol in very large VLDL to total lipids in very large VLDL ratio (%)	Free cholesterol in very large VLDL to total lipids in very large VLDL ratio	Lipoprotein subclasses ratios	Very large VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
xlvldll	Total lipids in very large VLDL (mmol/l)	Total lipids in very large VLDL	Lipoprotein subclasses	Very large VLDL	Total lipids (mmol/l)	Total lipids	no
xlvldlp	Concentration of very large VLDL particles (mol/l)	Concentration of very large VLDL particles	Lipoprotein subclasses	Very large VLDL	Particle concentration (mol/l)	Particle concentration	no
xlvldlpl	Phospholipids in very large VLDL (mmol/l)	Phospholipids in very large VLDL	Lipoprotein subclasses	Very large VLDL	Phospholipids (mmol/l)	Phospholipids	no
xlvldlplpct	Phospholipids in very large VLDL to total lipids in very large VLDL ratio (%)	Phospholipids in very large VLDL to total lipids in very large VLDL ratio	Lipoprotein subclasses ratios	Very large VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
xlvldltg	Triglycerides in very large VLDL (mmol/l)	Triglycerides in very large VLDL	Lipoprotein subclasses	Very large VLDL	Triglycerides (mmol/l)	Triglycerides	no
xlvldltgpct	Triglycerides in very large VLDL to total lipids in very large VLDL ratio (%)	Triglycerides in very large VLDL to total lipids in very large VLDL ratio	Lipoprotein subclasses ratios	Very large VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
xsvldlc	Total cholesterol in very small VLDL (mmol/l)	Total cholesterol in very small VLDL	Lipoprotein subclasses	Very Small VLDL	Total cholesterol (mmol/l)	Total cholesterol	no
xsvldlce	Cholesterol esters in very small VLDL (mmol/l)	Cholesterol esters in very small VLDL	Lipoprotein subclasses	Very Small VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
xsvldlcepct	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
xsvldlcpct	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
xsvldlfc	Free cholesterol in very small VLDL (mmol/l)	Free cholesterol in very small VLDL	Lipoprotein subclasses	Very Small VLDL	Free cholesterol (mmol/l)	Free cholesterol	no
xsvldlfcpct	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
xsvldll	Total lipids in very small VLDL (mmol/l)	Total lipids in very small VLDL	Lipoprotein subclasses	Very Small VLDL	Total lipids (mmol/l)	Total lipids	no
xsvldlp	Concentration of very small VLDL particles (mol/l)	Concentration of very small VLDL particles	Lipoprotein subclasses	Very Small VLDL	Particle concentration (mol/l)	Particle concentration	no
xsvldlpl	Phospholipids in very small VLDL (mmol/l)	Phospholipids in very small VLDL	Lipoprotein subclasses	Very Small VLDL	Phospholipids  (mmol/l)	Phospholipids	no
xsvldlplpct	Phospholipids in very small VLDL to total lipids in very small VLDL ratio (%)	Phospholipids in very small VLDL to total lipids in very small VLDL ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
xsvldltg	Triglycerides in very small VLDL (mmol/l)	Triglycerides in very small VLDL	Lipoprotein subclasses	Very Small VLDL	Triglycerides (mmol/l)	Triglycerides	no
xsvldltgpct	Triglycerides in very small VLDL to total lipids in very small VLDL ratio (%)	Triglycerides in very small VLDL to total lipids in very small VLDL ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
xxlvldlc	Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Total cholesterol in chylomicrons and extremely large VLDL	Lipoprotein subclasses	Extremely large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no
xxlvldlce	Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l)	Cholesterol esters in chylomicrons and extremely large VLDL	Lipoprotein subclasses	Extremely large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
xxlvldlcepct	Cholesterol esters in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Cholesterol esters in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
xxlvldlcpct	Total cholesterol in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Total cholesterol in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
xxlvldlfc	Free cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Free cholesterol in chylomicrons and extremely large VLDL	Lipoprotein subclasses	Extremely large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no
xxlvldlfcpct	Free cholesterol in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Free cholesterol in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
xxlvldll	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Total lipids in chylomicrons and largest VLDL particles	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	
xxlvldlp	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Concentration of chylomicrons and largest VLDL particles	Lipoprotein subclasses	Extremely large VLDL	Particle concentration (mol/l)	Particle concentration	
xxlvldlpl	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Phospholipids in chylomicrons and largest VLDL particles	Lipoprotein subclasses	Extremely large VLDL	Phospholipids (mmol/l)	Phospholipids	
xxlvldlplpct	Phospholipids in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Phospholipids in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
xxlvldltg	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Triglycerides in chylomicrons and largest VLDL particles	Lipoprotein subclasses	Extremely large VLDL	Triglycerides (mmol/l)	Triglycerides	
xxlvldltgpct	Triglycerides in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Triglycerides in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Triglycerides (mmol/l)	Ratio	yes
