Metabolite ID	Metabolite	Status	Pathway	Super_pathway	my_pathway	my_superpathway	Platform	Compound ID	Quant. Mass.	Retention Time	Spectra	CV(%)	Included in GWAS meta-analysis	Total N	name_lower	METABOLON_name	METABOLON SUB PATHWAY	PUBCHEM	KEGG
M01572	glycerate	Known	"Glycolysis, gluconeogenesis, pyruvate metabolism"	Carbohydrate	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	GC/MS	NA	NA	NA		10.8	Y	"7,778"	glycerate	glycerate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	752	C00258
M00527	lactate	Known	"Glycolysis, gluconeogenesis, pyruvate metabolism"	Carbohydrate	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	GC/MS	NA	NA	NA		6.7	Y	"7,814"	lactate	lactate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	612	C00186
M00599	pyruvate	Known	"Glycolysis, gluconeogenesis, pyruvate metabolism"	Carbohydrate	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	GC/MS	NA	NA	NA		30.3	Y	"7,682"	pyruvate	pyruvate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	1060	C00022
M00575	arabinose	Known	"Nucleotide sugars, pentose metabolism"	Carbohydrate	"Carbohydrate: Nucleotide sugars, pentose metabolism"	Carbohydrate	GC/MS	NA	NA	NA		25.7	Y	"5,889"	arabinose	arabinose	Pentose Metabolism	66308	C00216
M15964	arabitol	Known	"Nucleotide sugars, pentose metabolism"	Carbohydrate	"Carbohydrate: Nucleotide sugars, pentose metabolism"	Carbohydrate	GC/MS	NA	NA	NA		18.9		"1,744"	arabitol	NA	NA	NA	NA
M35854	threitol	Known	"Nucleotide sugars, pentose metabolism"	Carbohydrate	"Carbohydrate: Nucleotide sugars, pentose metabolism"	Carbohydrate	GC/MS	NA	NA	NA		23	Y	"7,381"	threitol	NA	NA	NA	NA
M32401	trigonelline (N'-methylnicotinate)	Known	Nicotinate and nicotinamide metabolism	Cofactors and vitamins	Cofactors and vitamins	Cofactors and vitamins	LC/MS pos	NA	NA	NA		13.9		739	trigonelline (n'-methylnicotinate)	trigonelline (N'-methylnicotinate)	Nicotinate and Nicotinamide Metabolism	5570	C01004
M01508	pantothenate	Known	Pantothenate and CoA metabolism	Cofactors and vitamins	Cofactors and vitamins	Cofactors and vitamins	LC/MS pos	NA	NA	NA		15	Y	"7,604"	pantothenate	pantothenate	Pantothenate and CoA Metabolism	6613	C00864
M01827	riboflavin (Vitamin B2)	Known	Riboflavin metabolism	Cofactors and vitamins	Cofactors and vitamins	Cofactors and vitamins	LC/MS pos	NA	NA	NA		NA		305	riboflavin (vitamin b2)	riboflavin (Vitamin B2)	Riboflavin Metabolism	493570	C00255
M01561	alpha-tocopherol	Known	Tocopherol metabolism	Cofactors and vitamins	Cofactors and vitamins	Cofactors and vitamins	GC/MS	NA	NA	NA		16.7	Y	"7,725"	alpha-tocopherol	alpha-tocopherol	Tocopherol Metabolism	14985	C02477
M33420	gamma-tocopherol	Known	Tocopherol metabolism	Cofactors and vitamins	Cofactors and vitamins	Cofactors and vitamins	GC/MS	NA	NA	NA		19.7	Y	"6,226"	gamma-tocopherol	NA	NA	NA	NA
M31555	pyridoxate	Known	Vitamin B6 metabolism	Cofactors and vitamins	Cofactors and vitamins	Cofactors and vitamins	LC/MS neg	NA	NA	NA		10.9	Y	"7,703"	pyridoxate	pyridoxate	Vitamin B6 Metabolism	6723	C00847
M01640	ascorbate (Vitamin C)	Known	Ascorbate and aldarate metabolism	Cofactors and vitamins	Cofactors and vitamins: Ascorbate and aldarate metabolism	Cofactors and vitamins	GC/MS	NA	NA	NA		0	Y	"2,085"	ascorbate (vitamin c)	NA	NA	NA	NA
M27738	threonate	Known	Ascorbate and aldarate metabolism	Cofactors and vitamins	Cofactors and vitamins: Ascorbate and aldarate metabolism	Cofactors and vitamins	GC/MS	NA	NA	NA		13.9	Y	"7,782"	threonate	threonate	Ascorbate and Aldarate Metabolism	151152	C01620
M32910	X-11593--O-methylascorbate*	Identified	Ascorbate and aldarate metabolism	Cofactors and vitamins	Cofactors and vitamins: Ascorbate and aldarate metabolism	Cofactors and vitamins	LC/MS Neg	32910	189.2	0.79	73.2:0.2 99.1:1.4 100.2:0.1 101.2:0.1 114.1:0.5 115.2:0.2 126.2:0.2 127.2:0.2 129.1:100 130.1:1 142.1:0.2 143.1:0.2 144.3:0.5 145.1:4.1 146.2:0.3 170.2:0.4 171.2:1.2 174:13.9 175.1:0.3	11.6	Y	"7,788"	x-11593--o-methylascorbate*	NA	NA	NA	NA
M32586	"bilirubin (E,E)*"	Known	Hemoglobin and porphyrin metabolism	Cofactors and vitamins	Cofactors and vitamins: Hemoglobin and porphyrin metabolism	Cofactors and vitamins	LC/MS pos	NA	NA	NA		24.8	Y	"7,748"	"bilirubin (e,e)*"	"bilirubin (E,E)*"	Hemoglobin and Porphyrin Metabolism	5315454	
M34106	"bilirubin (E,Z or Z,E)*"	Known	Hemoglobin and porphyrin metabolism	Cofactors and vitamins	Cofactors and vitamins: Hemoglobin and porphyrin metabolism	Cofactors and vitamins	LC/MS pos	NA	NA	NA		29.2	Y	"5,295"	"bilirubin (e,z or z,e)*"	"bilirubin (E,Z or Z,E)*"	Hemoglobin and Porphyrin Metabolism	5799469	
M27716	"bilirubin (Z,Z)"	Known	Hemoglobin and porphyrin metabolism	Cofactors and vitamins	Cofactors and vitamins: Hemoglobin and porphyrin metabolism	Cofactors and vitamins	LC/MS neg	NA	NA	NA		36.8	Y	"6,812"	"bilirubin (z,z)"	"bilirubin (Z,Z)"	Hemoglobin and Porphyrin Metabolism	5280352	C00486
M32593	heme*	Known	Hemoglobin and porphyrin metabolism	Cofactors and vitamins	Cofactors and vitamins: Hemoglobin and porphyrin metabolism	Cofactors and vitamins	LC/MS pos	NA	NA	NA		24.4	Y	"6,380"	heme*	NA	NA	NA	NA
M02137	biliverdin	Known	Hemoglobin and porphyrin metabolism	Cofactors and vitamins	Cofactors and vitamins: Hemoglobin and porphyrin metabolism	Cofactors and vitamins	LC/MS neg	NA	NA	NA		18.7	Y	"6,686"	biliverdin	biliverdin	Hemoglobin and Porphyrin Metabolism	5353439	C00500
M33138	X-11793--oxidized bilirubin*	Identified	Hemoglobin and porphyrin metabolism	Cofactors and vitamins	Cofactors and vitamins: Hemoglobin and porphyrin metabolism	Cofactors and vitamins	LC/MS Pos	33138	601.1	3.57	174.2:0.3 176.1:0.1 178.2:0.2 179.2:0.2 180.2:0.6 181.2:0.4 182.2:0.2 183.2:0.3 184.2:0.3 185.2:0.1 186.3:0.2 187.2:0.1 189.2:0.1 191.2:3.8 192.2:0.2 193.2:0.1 194.2:0.3 195.3:0.2 196.2:1.5 197.2:0.5 198.2:0.4 199.2:0.5 200.2:0.2 201.2:0.1 206.2:0.2 207.2:0.1 208.2:0.2 209.2:0.5 210.2:0.8 211.2:0.6 212.2:1.2 213.2:0.7 214.2:0.2 217.2:0.2 219.2:0.2 220.2:0.1 222.2:0.1 224.1:17.5 225.2:2.2 226.2:0.7 227.2:2.9 228.2:0.5 229.2:0.2 230.3:0.1 232.2:0.1 236.2:0.2 237.2:0.5 238.2:1.7 239.2:0.6 240.1:1.7 241.2:1.5 242.2:0.2 243.2:0.1 244.2:0.1 248.2:0.2 250.2:0.2 252.2:0.2 253.2:0.3 254.1:0.2 255.1:17.7 256.2:1.4 257.2:2.4 258.2:0.2 259.2:0.4 265.2:0.2 266.1:2.5 267.2:1.2 268.2:0.3 269.2:0.2 270.2:0.2 271.2:0.7 272.2:0.1 273.2:0.4 275.2:0.2 276.3:0.1 277.2:0.5 278.2:0.2 280.3:0.2 281.2:0.3 282.3:0.2 283.1:5.2 284.1:9 285.2:4.7 286.2:0.9 287.2:0.2 289.1:0.1 290.2:0.1 292.1:0.1 295.2:0.2 296.2:0.8 297.2:0.3 299.2:7.9 300.3:5.9 301.1:100 302.1:5.7 303.1:0.8 304.2:0.2 305.2:0.9 306.2:0.2 307.2:0.2 308.2:0.2 313.2:1.3 314.2:0.2 315.2:0.3 316.2:0.1 317.2:0.2 319.2:0.7 320.2:0.5 321.2:1.6 322.2:0.2 323.2:0.3 325.2:0.2 326.2:0.1 330.2:0.1 331.3:0.1 332.2:0.2 333.1:1.3 334.2:0.2 337.2:0.2 338.2:0.2 347.1:3.3 348.2:0.5 349.2:0.2 350.4:0.2 351.2:1.3 352.1:0.2 357.1:0.2 358.2:0.2 365.1:3.8 366.2:0.4 367.2:0.2 375.1:11.8 376.1:2.3 377.1:0.2 383.2:0.3 391.2:0.2 393.1:20.1 394.1:2.4 395.2:0.1 403.2:0.2 403.7:0.2 409.2:0.1 411.1:37.5 412.2:2.6 418.3:0.1 420.2:3.6 421.2:0.3 430.1:0.1 431.2:0.2 432.2:0.1 448.3:0.1 449.2:0.2 462.3:0.1 463.2:0.1 464.2:0.1 466.1:5.7 467.2:0.6 480.2:0.2 481.3:0.1 504.2:0.1 505.3:0.2 506.1:0.2 507.2:0.2 520.1:0.1 521.2:0.2 522.3:0.1 523.4:0.1 524.2:0.4 525.2:0.2 528.2:0.5 529.2:0.2 530.2:0.2 531.2:0.2 538.2:0.2 539.3:0.5 540.3:0.4 541.3:0.3 542.2:0.2 547.3:0.2 548.2:1 549.2:0.5 553.9:0.1 555:0.1 556.2:1.2 557.2:0.4 558.3:0.4 559.3:0.2 564.3:0.2 565.2:1.4 566.2:1.8 567.2:3.2 568.2:0.4 569.5:0.1 570.3:0.1 571.4:0.1 573.3:0.1 582.2:0.4 583.2:3.4 584.2:2.4 585.2:0.4 586.3:0.2	20.2	Y	"7,611"	x-11793--oxidized bilirubin*	NA	NA	NA	NA
M15488	acetylphosphate	Known	Oxidative phosphorylation	Energy	Energy	Energy	GC/MS	NA	NA	NA		22.1	Y	"7,789"	acetylphosphate	NA	NA	NA	NA
M11438	phosphate	Known	Oxidative phosphorylation	Energy	Energy	Energy	GC/MS	NA	NA	NA		7.2	Y	"7,789"	phosphate	phosphate	Oxidative Phosphorylation	1061	C00009
M33453	alpha-ketoglutarate	Known	Krebs cycle	Energy	Energy: Krebs cycle	Energy	GC/MS	NA	NA	NA		27.1	Y	"6,130"	alpha-ketoglutarate	alpha-ketoglutarate	TCA Cycle	51	C00026
M01564	citrate	Known	Krebs cycle	Energy	Energy: Krebs cycle	Energy	GC/MS	NA	NA	NA		8	Y	"7,813"	citrate	citrate	TCA Cycle	311	C00158
M01303	malate	Known	Krebs cycle	Energy	Energy: Krebs cycle	Energy	GC/MS	NA	NA	NA		20.8	Y	"7,384"	malate	malate	TCA Cycle	525	C00149
M37058	succinylcarnitine	Known	Krebs cycle	Energy	Energy: Krebs cycle	Energy	LC/MS pos	NA	NA	NA		28.1	Y	"6,948"	succinylcarnitine	NA	NA	NA	NA
M33883	X-12441--12-hydroxyeicosatetraenoate (12-HETE)	Identified	Eicosanoid	Lipid	Lipid	Lipid	LC/MS Neg	NA	NA	NA		27.4	Y	"2,761"	x-12441--12-hydroxyeicosatetraenoate (12-hete)	NA	NA	NA	NA
M00542	3-hydroxybutyrate (BHBA)	Known	Ketone bodies	Lipid	Lipid	Lipid	GC/MS	NA	NA	NA		7.4	Y	"7,820"	3-hydroxybutyrate (bhba)	3-hydroxybutyrate (BHBA)	Ketone Bodies	441	C01089
M33443	valerate	Known	Short chain fatty acid	Lipid	Lipid	Lipid	LC/MS neg	NA	NA	NA		26.1	Y	"4,102"	valerate	NA	NA	NA	NA
M37506	palmitoyl sphingomyelin	Known	Sphingolipid	Lipid	Lipid	Lipid	GC/MS	NA	NA	NA		12	Y	"7,814"	palmitoyl sphingomyelin	NA	NA	NA	NA
M22842	cholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		28.9	Y	"5,929"	cholate	cholate	Primary Bile Acid Metabolism	221493	C00695
M01114	deoxycholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		24.7	Y	"5,194"	deoxycholate	deoxycholate	Secondary Bile Acid Metabolism	222528	C04483
M32346	glycochenodeoxycholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		12.1	Y	"7,087"	glycochenodeoxycholate	glycochenodeoxycholate	Primary Bile Acid Metabolism	12544	C05466
M18476	glycocholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS pos	NA	NA	NA		12.4	Y	"5,995"	glycocholate	glycocholate	Primary Bile Acid Metabolism	10140	C01921
M18477	glycodeoxycholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		18.8	Y	"1,477"	glycodeoxycholate	glycodeoxycholate	Secondary Bile Acid Metabolism	3035026	C05464
M39379	glycoursodeoxycholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS Neg	NA	NA	NA		7		"4,675"	glycoursodeoxycholate	glycoursodeoxycholate	Secondary Bile Acid Metabolism	12310288	
M27531	hyodeoxycholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		13	Y	"6,025"	hyodeoxycholate	NA	NA	NA	NA
M18494	taurochenodeoxycholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		16.2	Y	"5,716"	taurochenodeoxycholate	taurochenodeoxycholate	Primary Bile Acid Metabolism	387316	C05465
M18497	taurocholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		23.3	Y	"4,032"	taurocholate	taurocholate	Primary Bile Acid Metabolism	6675	C05122
M12261	taurodeoxycholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		21.2	Y	"1,564"	taurodeoxycholate	taurodeoxycholate	Secondary Bile Acid Metabolism	2733768	C05463
M36850	taurolithocholate 3-sulfate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		23.8	Y	"6,904"	taurolithocholate 3-sulfate	taurolithocholate 3-sulfate	Secondary Bile Acid Metabolism	440071	C03642
M01605	ursodeoxycholate	Known	Bile acid metabolism	Lipid	Lipid: Bile acid metabolism	Lipid: Bile acid metabolism	LC/MS neg	NA	NA	NA		13.5	Y	"5,477"	ursodeoxycholate	ursodeoxycholate	Secondary Bile Acid Metabolism	31401	C07880
M35472	2-tetradecenoyl carnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		25.2	Y	"6,998"	2-tetradecenoyl carnitine	NA	NA	NA	NA
M32654	3-dehydrocarnitine*	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		13.5	Y	"7,809"	3-dehydrocarnitine*	NA	NA	NA	NA
M32198	acetylcarnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		8.4	Y	"7,805"	acetylcarnitine	NA	NA	NA	NA
M15500	carnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		5.2	Y	"7,797"	carnitine	carnitine	Carnitine Metabolism	10917	C00318
M38178	cis-4-decenoyl carnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS Pos	NA	NA	NA		9.7	Y	"7,660"	cis-4-decenoyl carnitine	NA	NA	NA	NA
M33941	decanoylcarnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		14.2	Y	"7,766"	decanoylcarnitine	NA	NA	NA	NA
M32328	hexanoylcarnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		14.3	Y	"7,786"	hexanoylcarnitine	NA	NA	NA	NA
M34534	laurylcarnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		27.9	Y	"5,170"	laurylcarnitine	NA	NA	NA	NA
M33936	octanoylcarnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		12.5	Y	"7,790"	octanoylcarnitine	NA	NA	NA	NA
M35160	oleoylcarnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		20.5	Y	"7,708"	oleoylcarnitine	NA	NA	NA	NA
M22189	palmitoylcarnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		24.9	Y	"7,701"	palmitoylcarnitine	NA	NA	NA	NA
M34409	stearoylcarnitine	Known	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS pos	NA	NA	NA		25.5	Y	"7,183"	stearoylcarnitine	NA	NA	NA	NA
M35189	X-13431--nonanoylcarnitine*	Identified	Carnitine metabolism	Lipid	Lipid: Carnitine metabolism	Lipid: Carnitine metabolism	LC/MS Pos	35189	302.3	4.18	113:1.6 123.1:7.3 124.1:0.3 134.1:0.3 140.9:16.6 141.9:0.6 144.1:2.3 159.1:1.6 213.1:0.4 224.4:0.7 241.1:0.2 243.1:100 244.1:3.9 245.1:0.3 255.1:0.8 256.2:0.3 257.1:0.3 258.1:0.2 259.1:0.3 265.2:0.6 267.1:0.5 269.2:0.4 270:0.5 271.1:0.2 283.1:1.1 284.2:1 285:1.3	25.8	Y	"6,591"	x-13431--nonanoylcarnitine*	NA	NA	NA	NA
M35718	dihomo-linolenate (20:3n3 or n6)	Known	Essential fatty acid	Lipid	Lipid: Essential fatty acid	Lipid: Essential fatty acid	LC/MS neg	NA	NA	NA		10.3	Y	"7,805"	dihomo-linolenate (20:3n3 or n6)	dihomo-linolenate (20:3n3 or n6)	Polyunsaturated Fatty Acid (n3 and n6)	5280581	C03242
M19323	docosahexaenoate (DHA; 22:6n3)	Known	Essential fatty acid	Lipid	Lipid: Essential fatty acid	Lipid: Essential fatty acid	LC/MS neg	NA	NA	NA		11.5	Y	"7,818"	docosahexaenoate (dha; 22:6n3)	docosahexaenoate (DHA; 22:6n3)	Polyunsaturated Fatty Acid (n3 and n6)	445580	C06429
M32504	docosapentaenoate (n3 DPA; 22:5n3)	Known	Essential fatty acid	Lipid	Lipid: Essential fatty acid	Lipid: Essential fatty acid	LC/MS neg	NA	NA	NA		14.1	Y	"7,821"	docosapentaenoate (n3 dpa; 22:5n3)	docosapentaenoate (n3 DPA; 22:5n3)	Polyunsaturated Fatty Acid (n3 and n6)	6441454	C16513
M18467	eicosapentaenoate (EPA; 20:5n3)	Known	Essential fatty acid	Lipid	Lipid: Essential fatty acid	Lipid: Essential fatty acid	LC/MS neg	NA	NA	NA		11.5	Y	"7,816"	eicosapentaenoate (epa; 20:5n3)	eicosapentaenoate (EPA; 20:5n3)	Polyunsaturated Fatty Acid (n3 and n6)	446284	C06428
M01105	linoleate (18:2n6)	Known	Essential fatty acid	Lipid	Lipid: Essential fatty acid	Lipid: Essential fatty acid	LC/MS neg	NA	NA	NA		7.9	Y	"7,780"	linoleate (18:2n6)	linoleate (18:2n6)	Polyunsaturated Fatty Acid (n3 and n6)	5280450	C01595
M34035	linolenate [alpha or gamma; (18:3n3 or 6)]	Known	Essential fatty acid	Lipid	Lipid: Essential fatty acid	Lipid: Essential fatty acid	LC/MS neg	NA	NA	NA		9.3	Y	"7,786"	linolenate [alpha or gamma; (18:3n3 or 6)]	linolenate [alpha or gamma; (18:3n3 or 6)]	Polyunsaturated Fatty Acid (n3 and n6)	5280934	C06426
M34674	X-12990--docosapentaenoic acid (n6-DPA)	Identified	Essential fatty acid	Lipid	Lipid: Essential fatty acid	Lipid: Essential fatty acid	LC/MS Neg	NA	NA	NA		13.7	Y	"2,581"	x-12990--docosapentaenoic acid (n6-dpa)	NA	NA	NA	NA
M34878	X-13183--stearamide	Identified	Fatty acid amide	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS Pos	NA	NA	NA		48.5	Y	"2,503"	x-13183--stearamide	NA	NA	NA	NA
M34732	isovalerate	Known	Fatty acid metabolism	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS neg	NA	NA	NA		14.1	Y	"7,080"	isovalerate	NA	NA	NA	NA
M32412	butyrylcarnitine	Known	Fatty acid metabolism (also BCAA metabolism)	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS pos	NA	NA	NA		13.7	Y	"7,796"	butyrylcarnitine	NA	NA	NA	NA
M32452	propionylcarnitine	Known	Fatty acid metabolism (also BCAA metabolism)	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS pos	NA	NA	NA		9.4	Y	"7,813"	propionylcarnitine	NA	NA	NA	NA
M32455	linoleamide (18:2n6)	Known	"Fatty acid, amide"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS pos	NA	NA	NA		NA		"1,767"	linoleamide (18:2n6)	NA	NA	NA	NA
M32458	oleamide	Known	"Fatty acid, amide"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS pos	NA	NA	NA		83.4		"1,765"	oleamide	NA	NA	NA	NA
M38768	15-methylpalmitate (isobar with 2-methylpalmitate)	Known	"Fatty acid, branched"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS Neg	NA	NA	NA		17	Y	"7,371"	15-methylpalmitate (isobar with 2-methylpalmitate)	NA	NA	NA	NA
M37253	2-hydroxyglutarate	Known	"Fatty acid, dicarboxylate"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	GC/MS	NA	NA	NA		27.3	Y	"6,287"	2-hydroxyglutarate	2-hydroxyglutarate	"Fatty Acid, Dicarboxylate"	43	C02630
M31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Known	"Fatty acid, dicarboxylate"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS neg	NA	NA	NA		8	Y	"7,812"	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	"Fatty Acid, Dicarboxylate"	123979	
M32388	dodecanedioate	Known	"Fatty acid, dicarboxylate"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS neg	NA	NA	NA		22.6	Y	"6,478"	dodecanedioate	NA	NA	NA	NA
M35678	hexadecanedioate	Known	"Fatty acid, dicarboxylate"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS neg	NA	NA	NA		12.4	Y	"6,887"	hexadecanedioate	NA	NA	NA	NA
M36754	octadecanedioate	Known	"Fatty acid, dicarboxylate"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS neg	NA	NA	NA		19.5	Y	"7,300"	octadecanedioate	NA	NA	NA	NA
M32398	sebacate (decanedioate)	Known	"Fatty acid, dicarboxylate"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS neg	NA	NA	NA		NA		398	sebacate (decanedioate)	NA	NA	NA	NA
M35669	tetradecanedioate	Known	"Fatty acid, dicarboxylate"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS neg	NA	NA	NA		12.8	Y	"6,046"	tetradecanedioate	NA	NA	NA	NA
M36802	n-Butyl Oleate	Known	"Fatty acid, ester"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	GC/MS	NA	NA	NA		28.9	Y	"4,542"	n-butyl oleate	NA	NA	NA	NA
M35675	2-hydroxypalmitate	Known	"Fatty acid, monohydroxy"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS neg	NA	NA	NA		14.3	Y	"7,797"	2-hydroxypalmitate	2-hydroxypalmitate	"Fatty Acid, Monohydroxy"	92836	
M17945	2-hydroxystearate	Known	"Fatty acid, monohydroxy"	Lipid	Lipid: Fatty acid	Lipid: Fatty acid	LC/MS neg	NA	NA	NA		16.4	Y	"7,763"	2-hydroxystearate	2-hydroxystearate	"Fatty Acid, Monohydroxy"	69417	C03045
M15506	choline	Known	Glycerolipid metabolism	Lipid	Lipid: Glycerolipid metabolism	Lipid	LC/MS pos	NA	NA	NA		8.1	Y	"7,750"	choline	choline	Phospholipid Metabolism	305	C00114
M15122	glycerol	Known	Glycerolipid metabolism	Lipid	Lipid: Glycerolipid metabolism	Lipid	GC/MS	NA	NA	NA		8.2	Y	"7,800"	glycerol	glycerol	Glycerolipid Metabolism	753	C00116
M15365	glycerol 3-phosphate (G3P)	Known	Glycerolipid metabolism	Lipid	Lipid: Glycerolipid metabolism	Lipid	GC/MS	NA	NA	NA		14.5	Y	"7,781"	glycerol 3-phosphate (g3p)	NA	NA	NA	NA
M15990	glycerophosphorylcholine (GPC)	Known	Glycerolipid metabolism	Lipid	Lipid: Glycerolipid metabolism	Lipid	LC/MS pos	NA	NA	NA		10.3	Y	"7,156"	glycerophosphorylcholine (gpc)	glycerophosphorylcholine (GPC)	Phospholipid Metabolism	71920	C00670
M37112	chiro-inositol	Known	Inositol metabolism	Lipid	Lipid: Inositol metabolism	Lipid: Inositol metabolism	GC/MS	NA	NA	NA		20.8	Y	"2,729"	chiro-inositol	chiro-inositol	Inositol Metabolism	NA	C19891
M01481	inositol 1-phosphate (I1P)	Known	Inositol metabolism	Lipid	Lipid: Inositol metabolism	Lipid: Inositol metabolism	GC/MS	NA	NA	NA		NA		"1,379"	inositol 1-phosphate (i1p)	NA	NA	NA	NA
M19934	myo-inositol	linoleat	Inositol metabolism	Lipid	Lipid: Inositol metabolism	Lipid: Inositol metabolism	GC/MS	NA	NA	NA		15.3	Y	"7,803"	myo-inositol	myo-inositol	Inositol Metabolism	892	C00137
M32379	scyllo-inositol	Known	Inositol metabolism	Lipid	Lipid: Inositol metabolism	Lipid: Inositol metabolism	GC/MS	NA	NA	NA		33.9	Y	"6,500"	scyllo-inositol	NA	NA	NA	NA
M33971	10-heptadecenoate (17:1n7)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		11.6	Y	"7,795"	10-heptadecenoate (17:1n7)	10-heptadecenoate (17:1n7)	Long Chain Fatty Acid	5312435	
M33972	10-nonadecenoate (19:1n9)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		12.6	Y	"7,789"	10-nonadecenoate (19:1n9)	10-nonadecenoate (19:1n9)	Long Chain Fatty Acid	5312513	
M32980	adrenate (22:4n6)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		23.2	Y	"7,778"	adrenate (22:4n6)	adrenate (22:4n6)	Polyunsaturated Fatty Acid (n3 and n6)	5497181	C16527
